,lat,lon,Rt_ssp5
0,-68.72935891380267,-56.45903949785817,4.135185542000137
1,-68.71279327595431,-56.503923706162375,4.135185542000137
2,-68.71265737527374,-56.521891870266195,4.135185542000137
3,-68.6964039779966,-56.52185322621331,4.135185542000137
4,-27.562464737767062,-56.274938273464514,3.6840314986403864
5,-27.578748336151747,-56.28384794189366,3.6840314986403864
6,-27.562596624644705,-56.28392237571942,3.6840314986403864
7,-27.546444837464676,-56.28399470297138,3.6840314986403864
8,-27.595039508370732,-56.292755439454,3.6840314986403864
9,-27.578884086736185,-56.29283200568292,3.6840314986403864
10,-27.54657301192183,-56.29297881632784,3.54953665975557
11,-27.530417363089235,-56.293049060701776,3.6840314986403864
12,-27.59517912700734,-56.30173946404391,3.6840314986403864
13,-27.546701259938054,-56.30196291637089,3.54953665975557
14,-27.59531882578696,-56.31072347528665,3.6840314986403864
15,-27.57915582168543,-56.31080009325322,3.6840314986403864
16,-27.562992739554577,-56.3108746025322,3.6840314986403864
17,-27.54682958157141,-56.3109470031022,3.54953665975557
18,-27.563124929482758,-56.319858651491025,3.6840314986403864
19,-27.16044419721419,-56.68040352567466,3.54953665975557
20,-27.176808035478132,-56.689365336488116,3.54953665975557
21,-27.160482400776697,-56.68938743539699,3.54953665975557
22,-27.14415674393812,-56.68940739503821,3.54953665975557
23,-27.193179648662994,-56.6983249792338,3.54953665975557
24,-27.176850149773962,-56.6983492256398,3.54953665975557
25,-27.144191081023926,-56.69839129848099,3.4199518933533937
26,-27.127861515670382,-56.698409124903904,3.4199518933533937
27,-27.193225678197763,-56.70730884708218,3.54953665975557
28,-27.127891981773793,-56.70739302134808,3.4199518933533937
29,-27.111558507875287,-56.70740871309622,3.54953665975557
30,-27.095225018570893,-56.70742226410695,3.54953665975557
31,-27.20960899051648,-56.71626629753961,3.54953665975557
32,-27.193271734416108,-56.71629270186501,3.54953665975557
33,-27.127922465538663,-56.71637690474028,3.4199518933533937
34,-27.111585098486973,-56.7163926018218,3.54953665975557
35,-27.09524771601708,-56.71640615743831,3.54953665975557
36,-27.19331781733936,-56.725276543583995,3.54953665975557
37,-27.1769766391909,-56.72530081472117,3.54953665975557
38,-27.16063543657529,-56.72532294368749,3.54953665975557
39,-27.14429421175164,-56.72534293047645,3.54953665975557
40,-27.127952966979112,-56.72536077508227,3.54953665975557
41,-26.718762791775422,-57.06074256364994,3.3833625914958207
42,-26.70227465707819,-57.06070447226679,3.3833625914958207
43,-26.685786564416983,-57.060664211333375,3.3833625914958207
44,-26.669298516119557,-57.06062178086169,3.3833625914958207
45,-26.702202731245034,-57.06968774521884,3.3833625914958207
46,-26.669218624097656,-57.06960502555538,3.2598444275495893
47,-26.70213076334186,-57.07867100514474,3.3833625914958207
48,-26.685634702126393,-57.078630716687684,3.3833625914958207
49,-26.669138685346493,-57.07858825720928,3.2598444275495893
50,-26.6855587043457,-57.08761394981746,3.3833625914958207
51,-26.669058699828273,-57.08757147582517,3.3833625914958207
52,-26.652558742115737,-57.087526830082,3.3833625914958207
53,-26.78450748254423,-57.09680647797619,3.54953665975557
54,-26.7680032559411,-57.09677702466521,3.54953665975557
55,-26.7844553509119,-57.10578975661746,3.54953665975557
56,-26.7679471317148,-57.105760293235534,3.54953665975557
57,-26.767890974631257,-57.114743548809926,3.54953665975557
58,-26.461391439041794,-57.75159703138884,3.3833625914958207
59,-26.478062930978766,-57.76064935985735,3.3833625914958207
60,-26.461257821492325,-57.760579036625316,3.3833625914958207
61,-26.444452791537227,-57.760506485157585,3.3833625914958207
62,-26.494742760449096,-57.76969949489007,3.3833625914958207
63,-26.47793340387287,-57.76963137638055,3.3833625914958207
64,-26.44431492454721,-57.7694884523014,3.2598444275495893
65,-26.511430932540772,-57.77874743419287,3.3833625914958207
66,-26.49461732874933,-57.77868152195558,3.3833625914958207
67,-26.444176975477895,-57.778470406416695,3.1072325059538586
68,-26.427363685369425,-57.77839557503322,3.2598444275495893
69,-26.494491822355318,-57.78766353603047,3.3833625914958207
70,-26.42722147934526,-57.78737749025137,3.2598444275495893
71,-26.49436624120527,-57.79664553711653,3.3833625914958207
72,-26.427079188619725,-57.796359392431654,3.2598444275495893
73,-26.410257631181175,-57.7962822780219,3.2598444275495893
74,-26.393436161002278,-57.796202932362924,3.3833625914958207
75,-26.494240585237307,-57.805627525215634,3.3833625914958207
76,-26.477414523662617,-57.80555931245068,3.3833625914958207
77,-26.460588539458303,-57.80548886757455,3.3833625914958207
78,-26.443762635114876,-57.80541619060885,3.3833625914958207
79,-26.426936813122726,-57.80534128157584,3.2598444275495893
80,-26.410111075972196,-57.80526414049858,3.3833625914958207
81,-26.393285426153547,-57.80518476740061,3.3833625914958207
82,-26.460454443732836,-57.81447079473028,3.3833625914958207
83,-26.443624357048733,-57.8143980926276,3.3833625914958207
84,-26.434743787705294,-58.38023174669271,3.162277660168379
85,-26.41764518812039,-58.380155153093156,3.162277660168379
86,-26.400546678036108,-58.38007627726223,2.8172691138478405
87,-26.383448260079422,-58.37999511922486,2.8172691138478405
88,-26.366349936877214,-58.37991167900657,2.8172691138478405
89,-26.34925171105628,-58.37982595663366,2.8172691138478405
90,-26.332153585243315,-58.37973795213316,2.8172691138478405
91,-26.315055562064924,-58.379647665532765,2.8172691138478405
92,-26.297957644147615,-58.37955509686095,2.8172691138478405
93,-26.280859834117788,-58.379460246146884,2.8172691138478405
94,-26.434600093921414,-58.38921281907162,3.162277660168379
95,-26.280677028834106,-58.38844104903984,2.8172691138478405
96,-26.263574984032463,-58.388343882385655,2.8172691138478405
