NC_c,NC_1,NC_3,NC_5,UN_c,UN_1,UN_3,UN_5,pop_c,pop_1,pop_3,pop_5,lat,lng
-1.0,-1.0,-1.0,-1.0,2.5875051021575928,2.904376268386841,3.1074306964874268,3.26005220413208,2.1379384994506836,2.1379384994506836,2.1379384994506836,2.1379384994506836,63.50087104459394,175.49999999999997
-1.0,-1.0,-1.0,-1.0,2.8852579593658447,3.2385926246643066,3.465013027191162,3.635197401046753,11.744733810424805,11.744733810424805,11.744733810424805,11.744733810424805,63.50087104459395,176.5
-1.0,-1.0,-1.0,-1.0,2.9763386249542236,3.340827226638794,3.574394941329956,3.892040491104126,39.13343811035156,39.13343811035156,39.13343811035156,39.13343811035156,63.50087104459394,177.5
-1.0,-1.0,-1.0,-1.0,2.7258236408233643,3.059633493423462,3.2735424041748047,3.5644516944885254,30.200580596923828,30.200580596923828,30.200580596923828,30.200580596923828,63.50087104459394,178.50000000000003
-1.0,-1.0,-1.0,-1.0,2.9484293460845947,3.309499979019165,3.5408778190612793,3.8555445671081543,2.611754894256592,2.611754894256592,2.611754894256592,2.611754894256592,63.50087104459394,179.5
-1.0,-1.0,-1.0,-1.0,2.8688812255859375,3.220210313796997,3.220210313796997,3.220210313796997,558.4889526367188,490.38055419921875,566.6619262695312,566.6619262695312,62.50089342176029,-49.50000000000001
-1.0,-1.0,-1.0,-1.0,3.112929582595825,3.494145393371582,3.7384321689605713,3.9220454692840576,574.3558349609375,610.51806640625,682.9465942382812,682.8695678710938,62.50089342176029,-7.499999999999999
-1.0,-1.0,-1.0,-1.0,2.135496139526367,2.3970131874084473,2.3970131874084473,2.690556526184082,1127.46875,1494.8543701171875,1232.543212890625,1769.058837890625,62.50089342176029,5.499999999999998
-1.0,-1.0,-1.0,-1.0,1.9243597984313965,2.1600208282470703,2.1600208282470703,2.424541473388672,9892.0927734375,12692.08984375,10673.578125,14853.521484375,62.50089342176029,6.500000000000001
-1.0,-1.0,-1.0,-1.0,2.123002767562866,2.3829901218414307,2.3829901218414307,2.5495924949645996,3035.00341796875,3822.636962890625,3225.04736328125,4614.2724609375,62.50089342176029,7.499999999999999
-1.0,-1.0,-1.0,-1.0,2.7247562408447266,2.911747455596924,3.1153171062469482,3.2683260440826416,11.462579727172852,11.462579727172852,11.462579727172852,11.462579727172852,62.50089342176029,163.49999999999997
-1.0,-1.0,-1.0,-1.0,2.502805709838867,2.8093044757843018,3.005711793899536,3.1533374786376953,1.2171941995620728,1.2171941995620728,1.2171941995620728,1.2171941995620728,62.50089342176029,164.5
-1.0,-1.0,-1.0,-1.0,2.6207942962646484,2.941742181777954,3.1474087238311768,3.3019938468933105,0.8595740795135498,0.8595740795135498,0.8595740795135498,0.8595740795135498,62.50089342176029,173.5
-1.0,-1.0,-1.0,-1.0,2.679760217666626,3.0079290866851807,3.2182230949401855,3.376286268234253,1.4561152458190918,1.4561152458190918,1.4561152458190918,1.4561152458190918,62.50089342176029,175.49999999999997
0.03490062430500984,0.03490062430500984,0.03490062430500984,0.03490062430500984,1.9627844095230103,2.203150987625122,2.203150987625122,2.4729533195495605,15.969746589660645,11.272796630859375,9.624978065490723,12.685175895690918,61.50091471046548,-150.5
0.024954598397016525,0.024954598397016525,0.024954598397016525,0.024954598397016525,2.381120204925537,2.6727170944213867,2.8595752716064453,3.000023603439331,7.170271873474121,8.482930183410645,7.390270233154297,9.416624069213867,61.50091471046546,-149.50000000000003
0.034259457141160965,0.034259457141160965,0.034259457141160965,0.034259457141160965,2.564915418624878,2.8790202140808105,3.080301523208618,3.231590747833252,0.13525915145874023,0.09886325150728226,0.07937785983085632,0.11837120354175568,61.50091471046548,-148.5
-1.0,-1.0,-1.0,-1.0,2.747858762741089,3.084367036819458,3.3000049591064453,3.462085008621216,0.3132212162017822,0.2165796309709549,0.18109287321567535,0.24531322717666626,61.50091471046548,-147.5
-1.0,-1.0,-1.0,-1.0,2.7177367210388184,3.2638304233551025,3.424133777618408,3.424133777618408,796.9240112304688,699.5044555664062,806.5062255859375,806.5062255859375,61.50091471046548,-49.50000000000001
-1.0,-1.0,-1.0,-1.0,2.710369348526001,3.0422866344451904,3.2549827098846436,3.2549827098846436,26.689239501953125,26.689239501953125,26.689239501953125,26.689239501953125,61.50091471046548,-48.5
-1.0,-1.0,-1.0,-1.0,2.2258176803588867,2.4983959197998047,2.4983959197998047,2.804354667663574,1138.803466796875,1301.154541015625,1158.2420654296875,1577.6353759765625,61.50091471046546,5.499999999999999
-1.0,-1.0,-1.0,-1.0,1.9969236850738525,2.2414710521698,2.2414710521698,2.398179531097412,230.03761291503906,233.67074584960938,221.57408142089844,284.77362060546875,61.50091471046548,6.500000000000001
-1.0,-1.0,-1.0,-1.0,2.0585739612579346,2.310671091079712,2.310671091079712,2.472217559814453,110.78346252441406,112.58468627929688,106.6700439453125,137.49139404296875,61.50091471046548,7.499999999999999
-1.0,-1.0,-1.0,-1.0,2.104816198348999,2.362576484680176,2.651902437210083,2.752385139465332,4.716157913208008,4.716157913208008,4.716157913208008,4.716157913208008,61.50091471046548,156.5
-1.0,-1.0,-1.0,-1.0,2.8093345165252686,3.1533713340759277,3.373833417892456,3.5395395755767822,1.5517473220825195,1.5517473220825195,1.5517473220825195,1.5517473220825195,61.50091471046548,162.5
-1.0,-1.0,-1.0,-1.0,2.715301752090454,3.047823190689087,3.260906219482422,3.4210658073425293,0.8181683421134949,0.8181683421134949,0.8181683421134949,0.8181683421134949,61.50091471046548,163.49999999999997
