fid,country,region,UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5
10140,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10141,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10142,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10143,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10144,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10145,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10146,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10147,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10148,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10149,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10150,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10151,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10152,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10153,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10154,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10155,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10156,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10157,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10158,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10159,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10160,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10285,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10286,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10287,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10288,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10289,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10290,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10291,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10292,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10293,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10294,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10295,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10296,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,81.8502578735352,,,
10297,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4849.77392578125,,,
10298,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10299,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10300,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10301,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10302,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10303,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10304,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10305,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10306,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10307,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10308,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10309,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10310,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10311,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10312,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1008.77008056641,,,
10313,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,795.240234375,,,
10314,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2485.95751953125,,,
10315,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4662.134765625,,,
10316,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7109.63232421875,,,
10317,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8726.4462890625,,,
10318,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9515.490234375,,,
10319,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5309.2548828125,,,
10320,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10321,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10322,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10323,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10324,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10325,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10326,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10327,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10343,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10344,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10345,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10346,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10347,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10348,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10349,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10350,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10351,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10352,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10353,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10354,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10355,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10356,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10357,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10358,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10359,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10360,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10361,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10362,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10363,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10364,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10365,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10366,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10367,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10368,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10369,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10370,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10371,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10372,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10373,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10374,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10375,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10376,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10377,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10378,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10379,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10489,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10490,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10491,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10492,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10493,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10494,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10495,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10496,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10497,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10498,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10499,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10500,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10501,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10502,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10503,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
