fid,country,region,UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5
8845,Finland,Eurasia,0.0,0.00218072928793587,0.00124839504213102,0.0301069601254568,0.333333293596904,0.331424276034037,0.332240462303162,0.306977490584056,125575.484375,,,
9204,Finland,Eurasia,479.207930506813,491.686198057896,491.623908335285,649.949681609729,0.859045386314392,0.855573753515879,0.855591038862864,0.803459544976552,69314.984375,78508.9765625,61138.5703125,91201.96875
9205,Finland,Eurasia,23750.5526699169,24415.3305520165,24589.6652429601,25675.6455548638,0.522511521975199,0.497959613800049,0.500777145226797,0.46773107846578,0,,,
9206,Finland,Eurasia,630.529173350626,1248.4002214783,1264.33658516465,1646.12883182139,0.896613279978434,0.770583887894948,0.772470792134603,0.688555896282196,0,0,0,0
9207,Finland,Eurasia,0.0,0.00258944728403678,0.00246931900199332,0.0028117362393563,0.99999996026357,0.994709233442942,0.994954645633698,0.994255026181539,45897.6328125,,,
9208,Finland,Eurasia,0.0010423486882607,0.00104789287139036,0.0010423486882607,0.00376440935391736,0.329765836397807,0.329746842384338,0.329765836397807,0.320449332396189,17736.8828125,19138.828125,14904.9375,22516.6328125
9561,Finland,Eurasia,1390.58820052461,1568.31744431586,1485.81232678497,2145.2872972514,0.731783827145894,0.69142226378123,0.707558592160543,0.586619893709818,128884.609375,150292.03125,120648.953125,171320.5625
9562,Finland,Eurasia,20726.5134564379,23714.9244913428,23681.7743131809,27553.4507938965,0.600815276304881,0.534344752629598,0.53930143515269,0.449150810639064,0,0,0,0
9563,Finland,Eurasia,10276.9347618633,12735.1237598405,12838.1874065032,15946.6024267858,0.71820737918218,0.64349232117335,0.645022948582967,0.54361480474472,0,0,0,0
9564,Finland,Eurasia,9584.24128963759,10458.3248416119,10425.4391216005,11754.6872927312,0.589205404122671,0.54525762796402,0.549641807874044,0.480080465475718,0,0,0,0
9565,Finland,Eurasia,9160.37345276711,9728.20257672495,9648.36316877532,11924.3015638283,0.694729089736939,0.672163228193919,0.675627152125041,0.593762596448263,0,,,
9566,Finland,Eurasia,124.403715098152,1094.30004812899,1064.90368857208,1826.98876915043,0.986395537853241,0.882158557573954,0.885505716005961,0.800454318523407,0,0,0,0
9567,Finland,Eurasia,25.4902351480324,118.467838578014,107.081945444458,368.090498905372,0.996899863084157,0.97727108001709,0.978926599025726,0.947341799736023,151840.53125,170710.796875,136869.046875,194823.640625
9568,Finland,Eurasia,0.205787040759968,1.84749112219812,1.85622639534926,3.1610719700664,0.994543830553691,0.954306662082672,0.954143047332764,0.922867953777313,58996.171875,61413.6015625,47760.375,71435.578125
9569,Finland,Eurasia,2.11663705146219,17.7544844587158,16.7845550724155,29.4401527029065,0.986983239650726,0.835477193196615,0.841907382011414,0.753588656584422,35336.1171875,38648.69140625,30193.9921875,44723.4453125
9570,Finland,Eurasia,0.0,0.111911043299557,0.110694662617143,0.147565433740314,0.99999996026357,0.854787131150564,0.856688300768534,0.81790949900945,42181.328125,,,
9582,Russia,Eurasia,0.0565696331848582,0.0565696331848582,0.0565696331848582,0.0565696331848582,0.997366925080617,0.997366925080617,0.997366925080617,0.997366925080617,8034.0341796875,4763.1572265625,6644.1044921875,5133.0830078125
9917,Sweden,Eurasia,0.0,0.0,0.0,0.0096954804547056,0.333333333333333,0.333333333333333,0.333333333333333,0.330088218053182,150885.96875,,,
9921,Finland,Eurasia,14419.8674634476,14778.6030455864,14934.3122225274,17568.4789761975,0.656523406505585,0.634399632612864,0.636571526527405,0.552573800086975,0,0,0,0
9922,Finland,Eurasia,44336.2135606668,49314.8303277057,49882.279486317,57975.5462881613,0.59804896513621,0.541380445162455,0.54229877392451,0.457984060049057,0,,,
9923,Finland,Eurasia,4451.61553891676,5304.04521858683,5163.6355141596,7463.23897264898,0.795212288697561,0.753981153170268,0.760635574658712,0.654842813809713,172961.5625,186006.6875,145971,215158.40625
9924,Finland,Eurasia,0.172679779682432,2.03164868642111,2.0286732901647,2.71118619892745,0.976936161518097,0.687295059363047,0.687635719776154,0.596869508425395,92344.59375,98623.140625,76134.578125,115171.515625
9925,Finland,Eurasia,0.0741556313482403,0.64031366066887,0.621078521273036,1.0938195135462,0.994751195112864,0.980230470498403,0.98077925046285,0.961646477381388,203818.4375,233683.578125,189478.15625,264774.125
9926,Finland,Eurasia,0.00428016401182956,0.0725088626173124,0.0620470243162795,0.374699129211693,0.998983462651571,0.992210606733958,0.993824104468028,0.947676698366801,55669.171875,58525.20703125,45831.6015625,67838.5390625
9927,Finland,Eurasia,0.0,0.00264338207624535,0.00244297595273656,0.0780983698563081,1.00000003973643,0.99978639682134,0.999803344408671,0.995117664337158,84373.328125,,,
9928,Finland,Eurasia,0.000689703488459251,0.00216193193013509,0.00168698957171784,0.0351322058009244,0.999894360701243,0.999676287174225,0.999745806058248,0.995828529198965,70024.6171875,73018.78125,57793.18359375,83975.984375
9929,Finland,Eurasia,246.215080146522,512.948774000286,493.825865285025,910.42755022904,0.960771222909292,0.912966688474019,0.917028884092967,0.84564197063446,60136.359375,64056.31640625,51226.34765625,73595.0703125
9930,Finland,Eurasia,0.0,14.112544025237,12.5903048616125,25.595685603582,1.00000003973643,0.977272609869639,0.979125996430715,0.960203687349955,89609.21875,,,
9931,Finland,Eurasia,0.0,0.009534645518517,0.009534645518517,0.009534645518517,0.99999992052714,0.982150097688039,0.982150097688039,0.982150097688039,14286.556640625,,,
9932,Russia,Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.2373046875,,,
