,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,PNpop_c_norm,pop,PN,country
0,26.0,65.0,25.0,65.0,25.0,66.0,26.0,66.0,26.0,65.0,33.33332935969035,0.003939129463050112,low,lowest,Finland
1,25.0,64.0,24.0,64.0,24.0,65.0,25.0,65.0,25.0,64.0,85.90453863143921,0.002307127630207632,low,medium,Finland
2,26.0,64.0,25.0,64.0,25.0,65.0,26.0,65.0,26.0,64.0,52.251152197519936,0.001943141888075158,lowest,high,Finland
3,27.0,64.0,26.0,64.0,26.0,65.0,27.0,65.0,27.0,64.0,89.66132799784342,0.0010984808658180425,lowest,medium,Finland
4,28.0,64.0,27.0,64.0,27.0,65.0,28.0,65.0,28.0,64.0,99.99999602635702,0.0014397453340181418,lowest,lowest,Finland
5,29.0,64.0,28.0,64.0,28.0,65.0,29.0,65.0,29.0,64.0,32.976583639780685,0.0005563815711835,lowest,lowest,Finland
6,22.0,63.0,21.0,63.0,21.0,64.0,22.0,64.0,22.0,63.0,73.17838271458945,0.004245470493357291,low,medium,Finland
7,23.0,63.0,22.0,63.0,22.0,64.0,23.0,64.0,23.0,63.0,60.081527630488075,0.004985120866755384,lowest,high,Finland
8,24.0,63.0,23.0,63.0,23.0,64.0,24.0,64.0,24.0,63.0,71.82073791821799,0.003586510467081825,lowest,high,Finland
9,25.0,63.0,24.0,63.0,24.0,64.0,25.0,64.0,25.0,63.0,58.92054041226705,0.0009114371101927122,lowest,high,Finland
10,26.0,63.0,25.0,63.0,25.0,64.0,26.0,64.0,26.0,63.0,69.47290897369385,0.0011722532569700668,lowest,high,Finland
11,27.0,63.0,26.0,63.0,26.0,64.0,27.0,64.0,27.0,63.0,98.6395537853241,0.0015793647122512445,lowest,medium,Finland
12,28.0,63.0,27.0,63.0,27.0,64.0,28.0,64.0,28.0,63.0,99.68998630841574,0.005084235923510268,low,medium,Finland
13,29.0,63.0,28.0,63.0,28.0,64.0,29.0,64.0,29.0,63.0,99.45438305536905,0.0018521018197019366,low,lowest,Finland
14,30.0,63.0,29.0,63.0,29.0,64.0,30.0,64.0,30.0,63.0,98.69832396507263,0.0011147975698528158,lowest,low,Finland
15,31.0,63.0,30.0,63.0,30.0,64.0,31.0,64.0,31.0,63.0,99.99999602635702,0.0013231699900243513,lowest,lowest,Finland
16,43.0,63.0,42.0,63.0,42.0,64.0,43.0,64.0,43.0,63.0,99.73669250806174,0.0002528558467011007,lowest,lowest,Russia
18,22.0,62.0,21.0,62.0,21.0,63.0,22.0,63.0,22.0,62.0,65.65234065055847,0.0016400527317494496,lowest,high,Finland
19,23.0,62.0,22.0,62.0,22.0,63.0,23.0,63.0,23.0,62.0,59.80489651362101,0.004309026247351771,lowest,high,Finland
20,24.0,62.0,23.0,62.0,23.0,63.0,24.0,63.0,24.0,62.0,79.52122886975607,0.006274760307740154,medium,high,Finland
21,25.0,62.0,24.0,62.0,24.0,63.0,25.0,63.0,25.0,62.0,97.69361615180969,0.0028970148174170952,low,lowest,Finland
22,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0,99.47511951128641,0.006394054732010303,medium,lowest,Finland
23,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0,99.89834626515707,0.0017464295017751471,low,lowest,Finland
24,28.0,62.0,27.0,62.0,27.0,63.0,28.0,63.0,28.0,62.0,100.00000397364299,0.0026466747420243204,low,lowest,Finland
25,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0,99.9894360701243,0.00219683055567287,low,lowest,Finland
26,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0,96.07712229092917,0.0021315849761970635,low,medium,Finland
27,31.0,62.0,30.0,62.0,30.0,63.0,31.0,63.0,31.0,62.0,100.00000397364299,0.0028109173975784437,low,lowest,Finland
28,32.0,62.0,31.0,62.0,31.0,63.0,32.0,63.0,32.0,62.0,99.99999205271402,0.0004481495450223715,lowest,lowest,Russia
31,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0,99.54211314519247,0.00021436896047847414,lowest,low,Russia
37,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0,98.79897038141885,0.00026979933314204524,lowest,low,Russia
38,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0,94.04908219973245,0.0002914405654590138,lowest,lowest,Russia
43,6.0,61.0,5.0,61.0,5.0,62.0,6.0,62.0,6.0,61.0,100.00000397364299,0.0016545414591024714,low,lowest,Norway
45,17.0,61.0,16.0,61.0,16.0,62.0,17.0,62.0,17.0,61.0,33.2213540871938,0.0026036341540425084,low,lowest,Sweden
