,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
nc_degree,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0
tot_nit,129492.15937500002,1033999.3250000001,2459168.725,3319283.8000000007,3970321.5,4829181.7,5723066.699999998,6437245.0,7101727.450000001,7924927.0,8952349.3,10340054.0,12262824.8,14543551.2,17152357.0,20811913.200000007,26972304.199999996,37309503.2,60215491.99999991,329481760.0
nit_exp,88689.8984375,299817.671875,465289.2734375,636933.3125,880278.4375,1141390.5625,1396983.375,1692251.875,2032759.0625,2384243.625,2780910.375000001,3281639.75,3934603.0,4755564.0,5858008.125,7206560.0,9328314.25,12607803.5,21633401.0,171481600.0
rural_pop,339.94999999999993,1500.3,2944.85,5326.799999999999,8718.0,13027.400000000001,19280.65,28157.19999999999,40040.25,57548.0,78660.25000000009,106404.6,140151.5,187349.40000000002,254214.75,355470.59999999986,503257.8999999996,838931.9000000012,1850815.4500000007,16678228.0
