,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
370,112297,-64.97858357747758,-15.931859266053412,-62.17797447839212,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0
371,172849,-76.91221817887289,-16.185803794063027,-75.33222639413592,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0
372,12682,-39.72559533196657,-15.959627818956001,-34.32423907900962,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0
373,3792,-40.348101265822784,-16.244725738396625,-35.2584388185654,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0
374,29194,-39.641707200109614,-16.414331711995615,-34.507090498047546,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0
375,41214,-39.40651235017227,-16.632697627019944,-34.3160091231135,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0
376,24553,-39.5063739665214,-15.88807884983505,-33.42157781126543,36.0,59.0,35.0,59.0,35.0,60.0,36.0,60.0,36.0,59.0
377,33163,-39.68277900069354,-15.818834242981636,-34.49024515273045,37.0,59.0,36.0,59.0,36.0,60.0,37.0,60.0,37.0,59.0
378,81527,-41.843806346363785,-16.05725710500816,-36.5204165491187,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0
379,18694,-39.81491387610998,-15.99443671766342,-34.24628222959238,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0
381,363,-38.29201101928375,-18.457300275482094,-33.333333333333336,41.0,59.0,40.0,59.0,40.0,60.0,41.0,60.0,41.0,59.0
382,675,-39.55555555555556,-16.88888888888889,-34.074074074074076,42.0,59.0,41.0,59.0,41.0,60.0,42.0,60.0,42.0,59.0
383,1561,-38.629083920563744,-15.823190262652146,-33.568225496476614,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0
384,6161,-37.136828436942054,-15.76042850186658,-31.780555104690798,44.0,59.0,43.0,59.0,43.0,60.0,44.0,60.0,44.0,59.0
385,10360,-38.52316602316602,-16.3996138996139,-33.04054054054054,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0
386,334,-39.221556886227546,-16.46706586826347,-33.83233532934132,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0
387,9860,-39.3711967545639,-15.212981744421906,-33.8235294117647,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0
388,14904,-40.103327965646805,-14.63365539452496,-32.991143317230275,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0
389,11588,-40.08457024508112,-15.412495685191578,-33.526061442871935,49.0,59.0,48.0,59.0,48.0,60.0,49.0,60.0,49.0,59.0
390,13529,-39.781210732500554,-14.997412964742406,-33.72754822972873,50.0,59.0,49.0,59.0,49.0,60.0,50.0,60.0,50.0,59.0
391,12728,-40.375549968573225,-16.43620364550597,-34.0901948460088,51.0,59.0,50.0,59.0,50.0,60.0,51.0,60.0,51.0,59.0
392,15407,-40.10514701109885,-16.550918413708054,-34.63360810021419,52.0,59.0,51.0,59.0,51.0,60.0,52.0,60.0,52.0,59.0
393,26702,-39.46520859860684,-15.834019923601229,-34.222155643772005,53.0,59.0,52.0,59.0,52.0,60.0,53.0,60.0,53.0,59.0
