,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
178,31688.421875,2.3297029327056067,-0.12810894554842833,2.675630985094615,-107.0,60.0,-108.0,60.0,-108.0,61.0,-107.0,61.0,-107.0,60.0
179,83769.7734375,1.3022951390860982,-0.9479758090697057,2.8391058044038298,-106.0,60.0,-107.0,60.0,-107.0,61.0,-106.0,61.0,-106.0,60.0
180,54714.484375,1.2614846902685446,-1.4617501592785502,3.620013781771109,-105.0,60.0,-106.0,60.0,-106.0,61.0,-105.0,61.0,-105.0,60.0
181,127778.2421875,1.662584989925478,-1.2728778465377182,4.735138360740333,-104.0,60.0,-105.0,60.0,-105.0,61.0,-104.0,61.0,-104.0,60.0
182,165466.015625,3.4482061790445075,0.7935258609089385,6.969170878650025,-103.0,60.0,-104.0,60.0,-104.0,61.0,-103.0,61.0,-103.0,60.0
183,21984.4375,7.229528132116185,4.73849043783813,11.061731167786304,-102.0,60.0,-103.0,60.0,-103.0,61.0,-102.0,61.0,-102.0,60.0
188,87.0424575805664,69.97353540841046,68.75267391596455,70.44581876019002,-97.0,60.0,-98.0,60.0,-98.0,61.0,-97.0,61.0,-97.0,60.0
201,114366.1875,4.3153051683217125,5.885405651473693,5.291459615194395,35.0,60.0,34.0,60.0,34.0,61.0,35.0,61.0,35.0,60.0
202,79378.9375,16.07462582564802,9.388500806652898,7.305395480381682,36.0,60.0,35.0,60.0,35.0,61.0,36.0,61.0,36.0,60.0
203,24809.8984375,9.34913830700763,8.471606122430343,7.117961360558271,37.0,60.0,36.0,60.0,36.0,61.0,37.0,61.0,37.0,60.0
204,2092.191162109375,19.88784793715937,10.069763927551005,3.2863086614742905,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
218,7.395208358764648,3.361629817660545,4.988710980731292,6.193653234444585,52.0,60.0,51.0,60.0,51.0,61.0,52.0,61.0,52.0,60.0
219,3258.76953125,4.601952963457977,6.026601897524109,7.061070189213001,53.0,60.0,52.0,60.0,52.0,61.0,53.0,61.0,53.0,60.0
