UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5,lat,lng
0.0,0.0021807292879358698,0.0012483950421310198,0.0301069601254568,0.333333293596904,0.331424276034037,0.332240462303162,0.30697749058405605,125575.484375,0.0,0.0,0.0,65.5,25.5
479.207930506813,491.686198057896,491.623908335285,649.949681609729,0.8590453863143921,0.855573753515879,0.855591038862864,0.803459544976552,69314.984375,78508.9765625,61138.5703125,91201.96875,64.5,24.5
0.0,0.00258944728403678,0.0024693190019933198,0.0028117362393563,0.99999996026357,0.994709233442942,0.994954645633698,0.994255026181539,45897.6328125,0.0,0.0,0.0,64.5,27.5
0.0010423486882607,0.00104789287139036,0.0010423486882607,0.00376440935391736,0.329765836397807,0.329746842384338,0.329765836397807,0.320449332396189,17736.8828125,19138.828125,14904.9375,22516.6328125,64.5,28.5
1390.5882005246099,1568.31744431586,1485.8123267849699,2145.2872972514,0.7317838271458941,0.69142226378123,0.707558592160543,0.5866198937098179,128884.609375,150292.03125,120648.953125,171320.5625,63.5,21.5
25.490235148032397,118.467838578014,107.08194544445801,368.090498905372,0.996899863084157,0.97727108001709,0.978926599025726,0.947341799736023,151840.53125,170710.796875,136869.046875,194823.640625,63.5,27.5
0.205787040759968,1.84749112219812,1.85622639534926,3.1610719700664003,0.9945438305536909,0.954306662082672,0.954143047332764,0.9228679537773129,58996.171875,61413.6015625,47760.375,71435.578125,63.5,28.5
2.11663705146219,17.7544844587158,16.7845550724155,29.4401527029065,0.986983239650726,0.835477193196615,0.841907382011414,0.753588656584422,35336.1171875,38648.69140625,30193.9921875,44723.4453125,63.5,29.5
0.0,0.11191104329955699,0.110694662617143,0.147565433740314,0.99999996026357,0.8547871311505642,0.8566883007685341,0.81790949900945,42181.328125,0.0,0.0,0.0,63.5,30.5
0.0565696331848582,0.0565696331848582,0.0565696331848582,0.0565696331848582,0.9973669250806171,0.9973669250806171,0.9973669250806171,0.9973669250806171,8034.0341796875,4763.1572265625,6644.1044921875,5133.0830078125,63.5,42.5
0.0,0.0,0.0,0.0096954804547056,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.330088218053182,150885.96875,0.0,0.0,0.0,62.5,17.5
4451.615538916761,5304.04521858683,5163.6355141596005,7463.238972648979,0.7952122886975609,0.7539811531702679,0.760635574658712,0.654842813809713,172961.5625,186006.6875,145971.0,215158.40625,62.5,23.5
0.172679779682432,2.03164868642111,2.0286732901646998,2.71118619892745,0.976936161518097,0.687295059363047,0.6876357197761539,0.596869508425395,92344.59375,98623.140625,76134.578125,115171.515625,62.5,24.5
0.0741556313482403,0.64031366066887,0.621078521273036,1.0938195135461999,0.994751195112864,0.9802304704984031,0.9807792504628501,0.961646477381388,203818.4375,233683.578125,189478.15625,264774.125,62.5,25.5
0.00428016401182956,0.0725088626173124,0.0620470243162795,0.37469912921169296,0.9989834626515709,0.992210606733958,0.9938241044680279,0.9476766983668008,55669.171875,58525.20703125,45831.6015625,67838.5390625,62.5,26.5
0.0,0.00264338207624535,0.0024429759527365602,0.0780983698563081,1.0000000397364301,0.9997863968213401,0.9998033444086709,0.9951176643371579,84373.328125,0.0,0.0,0.0,62.5,27.5
0.000689703488459251,0.00216193193013509,0.00168698957171784,0.0351322058009244,0.9998943607012429,0.999676287174225,0.999745806058248,0.995828529198965,70024.6171875,73018.78125,57793.18359375,83975.984375,62.5,28.5
246.21508014652198,512.948774000286,493.82586528502503,910.4275502290401,0.960771222909292,0.9129666884740191,0.917028884092967,0.84564197063446,60136.359375,64056.31640625,51226.34765625,73595.0703125,62.5,29.5
0.0,14.112544025237,12.590304861612502,25.595685603582,1.0000000397364301,0.9772726098696389,0.9791259964307151,0.960203687349955,89609.21875,0.0,0.0,0.0,62.5,30.5
0.0,0.009534645518517,0.009534645518517,0.009534645518517,0.99999992052714,0.9821500976880391,0.9821500976880391,0.9821500976880391,14286.556640625,0.0,0.0,0.0,62.5,31.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9719.2373046875,0.0,0.0,0.0,62.5,32.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27198.8671875,0.0,0.0,0.0,62.5,33.5
1.3511910507570901,0.0,0.0,0.0,0.995421131451925,0.9999999006589251,0.9999999006589251,0.9999999006589251,6466.3671875,16421.8359375,18050.30078125,16762.185546875,62.5,35.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10079.783203125,0.0,0.0,0.0,62.5,36.5
0.0,0.0,0.0,0.0,0.9999999403953549,0.9999999403953549,0.9999999403953549,0.9999999403953549,11061.099609375,0.0,0.0,0.0,62.5,38.5
0.0,0.0,0.0,0.0,0.99999996026357,0.99999996026357,0.99999996026357,0.99999996026357,12117.2724609375,0.0,0.0,0.0,62.5,39.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200.1640625,0.0,0.0,0.0,62.5,40.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14950.564453125,0.0,0.0,0.0,62.5,41.5
1.11531521049352,1.11531521049352,1.11531521049352,1.11531521049352,0.9879897038141892,0.9879897038141892,0.9879897038141892,0.9879897038141892,8485.2822265625,5020.2509765625,7138.38916015625,5577.36279296875,62.5,42.5
1.37641297667598,1.37641297667598,1.37641297667598,1.37641297667598,0.9404908219973249,0.9404908219973249,0.9404908219973249,0.9404908219973249,9262.02734375,5555.65185546875,7665.00146484375,6048.2041015625,62.5,43.5
