yr	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Total_Acres	1 929 004   	15 348 560   	23 870 224   	28 875 730   	32 521 909   	32 995 310   	33 992 827   	35 014 556   	35 014 556   	34 977 196   	34 503 211   	32 816 729   	30 134 085   	29 822 771   	31 424 918   	33 607 673   	33 963 715   	34 110 464   	34 706 180   	34 901 193   	36 002 268   	36 770 039   	34 610 474   	33 719 224   	31 296 193   	31 122 339   	29 524 400   	26 837 619   	25 447 592   	24 185 328   	23 883 057   
Total_Money	82 928 064	754 854 386	1 158 177 381	1 410 490 626	1 594 975 051	1 620 382 120	1 679 537 440	1 743 919 349	1 743 919 349	1 741 705 002	1 717 971 279	1 620 214 647	1 376 848 641	1 346 510 334	1 420 251 360	1 557 607 650	1 602 631 071	1 625 759 799	1 665 524 746	1 690 119 811	1 762 444 747	1 819 136 663	1 756 747 597	1 736 373 843	1 666 683 569	1 716 971 454	1 693 749 088	1 632 818 053	1 620 085 550	1 615 192 132	1 734 172 305
