FIPS,County_Surface,ACRES_2016,2016
19071,#DIV/0!,7.663,192,49
19073,#DIV/0!,11.101,202,64
19075,#DIV/0!,5.729,251,96
19077,#DIV/0!,28.824,184,90
19079,#DIV/0!,12.322,221,78
19081,#DIV/0!,12.295,209,49
19083,#DIV/0!,9.710,221,29
19085,#DIV/0!,16.387,227,16
19087,#DIV/0!,28.914,156,52
19089,#DIV/0!,20.935,213,93
19091,#DIV/0!,9.310,216,81
19093,#DIV/0!,6.841,255,33
19095,#DIV/0!,24.476,177,60
19097,#DIV/0!,18.372,180,42
19099,#DIV/0!,12.546,179,35
19101,#DIV/0!,27.412,159,24
19103,#DIV/0!,14.169,170,64
19105,#DIV/0!,15.458,177,68
19107,#DIV/0!,37.929,165,65
19109,#DIV/0!,24.895,236,84
19111,#DIV/0!,16.694,150,84
19113,#DIV/0!,10.279,193,88
19115,#DIV/0!,14.781,175,37
19117,#DIV/0!,22.589,126,99
19119,#DIV/0!,3.011,173,93
19121,#DIV/0!,20.312,173,94
19123,#DIV/0!,26.860,154,20
19125,#DIV/0!,24.861,161,81
19127,#DIV/0!,11.304,208,56
19129,#DIV/0!,6.415,190,69
19131,#DIV/0!,8.313,177,01
19133,#DIV/0!,15.157,278,18
19135,#DIV/0!,26.765,148,96
19137,#DIV/0!,11.973,200,17
19139,#DIV/0!,12.543,183,42
19141,#DIV/0!,6.080,261,53
19143,#DIV/0!,7.606,216,34
19145,#DIV/0!,13.495,179,32
19147,#DIV/0!,20.835,223,03
19149,#DIV/0!,8.763,199,11
19151,#DIV/0!,9.860,208,35
19153,#DIV/0!,4.529,209,21
19155,#DIV/0!,9.252,213,49
19157,#DIV/0!,14.873,183,30
19159,#DIV/0!,46.047,164,01
19161,#DIV/0!,10.314,234,30
19163,#DIV/0!,4.534,219,17
19165,#DIV/0!,10.775,251,49
19167,#DIV/0!,7.847,273,15
19169,#DIV/0!,9.701,220,49
19171,#DIV/0!,19.140,177,32
19173,#DIV/0!,40.423,169,17
19175,#DIV/0!,21.824,190,65
19177,#DIV/0!,25.808,131,97
19179,#DIV/0!,17.960,155,72
19181,#DIV/0!,21.847,176,65
19183,#DIV/0!,37.655,178,16
19185,#DIV/0!,39.722,124,42
19187,#DIV/0!,16.921,228,69
19189,#DIV/0!,12.824,212,53
19191,#DIV/0!,29.938,161,07
19193,#DIV/0!,26.472,275,54
19195,#DIV/0!,11.231,184,91
19197,#DIV/0!,14.784,200,20
20001,#DIV/0!,6.627,55,01
20003,#DIV/0!,6.779,65,43
20005,#DIV/0!,3.106,90,51
20007,#DIV/0!,8.242,39,84
20009,#DIV/0!,19.100,37,94
20011,#DIV/0!,10.245,58,22
20013,#DIV/0!,5.663,102,32
20015,#DIV/0!,531,51,80
20017,#DIV/0!,752,69,32
20019,#DIV/0!,1.617,46,56
20021,#DIV/0!,1.482,59,05
20023,#DIV/0!,39.878,34,48
20025,#DIV/0!,36.595,35,75
20027,#DIV/0!,14.035,59,12
20029,#DIV/0!,5.896,55,76
20031,#DIV/0!,17.326,59,79
20033,#DIV/0!,22.046,33,88
20035,#DIV/0!,3.306,45,76
20037,#DIV/0!,6.524,55,28
20039,#DIV/0!,4.802,42,13
20041,#DIV/0!,26.579,54,96
20043,#DIV/0!,5.880,115,62
20045,#DIV/0!,3.829,67,34
20047,#DIV/0!,17.341,36,75
20049,#DIV/0!,2.070,54,00
20051,#DIV/0!,25.760,38,04
20053,#DIV/0!,22.118,45,00
20055,#DIV/0!,51.311,44,01
20057,#DIV/0!,40.518,37,48
20059,#DIV/0!,4.386,63,27
20061,#DIV/0!,2.547,65,86
20063,#DIV/0!,32.388,40,32
20065,#DIV/0!,47.097,40,52
20067,#DIV/0!,38.010,36,11
20069,#DIV/0!,49.734,52,99
20071,#DIV/0!,22.682,34,09
20073,#DIV/0!,4.009,56,15
20075,#DIV/0!,115.624,33,06
20077,#DIV/0!,19.055,37,82
20079,#DIV/0!,3.019,46,50
20081,#DIV/0!,13.680,38,11
20083,#DIV/0!,59.185,38,25
20085,#DIV/0!,11.367,72,49
20087,#DIV/0!,5.591,68,89
20089,#DIV/0!,8.909,50,76
20091,#DIV/0!,565,59,90
20093,#DIV/0!,48.790,49,00
20095,#DIV/0!,23.569,39,13
20097,#DIV/0!,41.287,37,08
20099,#DIV/0!,2.706,54,10
20101,#DIV/0!,43.009,38,00
20103,#DIV/0!,3.217,71,03
20105,#DIV/0!,14.058,53,53
20107,#DIV/0!,9.850,60,63
20109,#DIV/0!,28.097,36,35
20111,#DIV/0!,11.965,52,78
20113,#DIV/0!,7.336,46,09
20115,#DIV/0!,10.217,44,86
20117,#DIV/0!,10.700,78,76
20119,#DIV/0!,55.563,38,63
20121,#DIV/0!,3.739,57,95
20123,#DIV/0!,6.953,56,28
20125,#DIV/0!,1.225,53,93
20127,#DIV/0!,3.452,52,47
20129,#DIV/0!,77.524,32,93
20131,#DIV/0!,8.202,93,95
20133,#DIV/0!,6.029,51,32
20135,#DIV/0!,96.160,40,03
20137,#DIV/0!,16.007,36,54
20139,#DIV/0!,9.779,58,12
20141,#DIV/0!,14.102,49,97
20143,#DIV/0!,9.578,53,20
20145,#DIV/0!,22.240,38,25
20147,#DIV/0!,12.942,44,08
20149,#DIV/0!,10.265,72,91
20151,#DIV/0!,30.846,34,48
20153,#DIV/0!,2.872,40,48
20155,#DIV/0!,69.375,46,90
20157,#DIV/0!,6.765,59,53
20159,#DIV/0!,11.213,44,60
20161,#DIV/0!,2.618,69,22
20163,#DIV/0!,26.737,43,54
20165,#DIV/0!,49.359,39,54
20167,#DIV/0!,47.038,40,12
20169,#DIV/0!,9.239,49,29
20171,#DIV/0!,12.362,40,67
20173,#DIV/0!,1.283,45,32
20175,#DIV/0!,47.342,35,49
20177,#DIV/0!,3.050,78,28
20179,#DIV/0!,8.935,41,24
20181,#DIV/0!,36.252,35,99
20183,#DIV/0!,9.160,47,97
20185,#DIV/0!,33.807,44,73
20187,#DIV/0!,64.876,31,53
20189,#DIV/0!,58.323,32,58
20191,#DIV/0!,6.682,42,69
20193,#DIV/0!,14.604,37,49
20195,#DIV/0!,30.661,37,74
20197,#DIV/0!,8.894,70,79
20199,#DIV/0!,41.591,35,13
20201,#DIV/0!,15.023,68,15
20203,#DIV/0!,18.977,41,06
20205,#DIV/0!,2.824,55,57
20207,#DIV/0!,5.790,53,94
20209,#DIV/0!,3,80,00
21001,#DIV/0!,7.191,143,87
21003,#DIV/0!,7.781,157,91
21005,#DIV/0!,8,66,53
21007,#DIV/0!,1.495,93,19
21009,#DIV/0!,5.656,160,99
21011,#DIV/0!,56,59,47
21013,#DIV/0!,0,.
21015,#DIV/0!,11,63,08
21017,#DIV/0!,897,65,91
21019,#DIV/0!,12,63,20
21021,#DIV/0!,212,69,47
21023,#DIV/0!,11,65,88
21025,#DIV/0!,0,.
21027,#DIV/0!,4.641,88,28
21029,#DIV/0!,55,71,16
21031,#DIV/0!,7.377,145,70
21033,#DIV/0!,4.162,113,04
21035,#DIV/0!,5.231,110,27
21037,#DIV/0!,22,48,58
21039,#DIV/0!,1.877,116,26
21041,#DIV/0!,0,.
21043,#DIV/0!,13,64,96
21045,#DIV/0!,325,81,28
21047,#DIV/0!,18.182,138,24
21049,#DIV/0!,110,65,48
21051,#DIV/0!,0,.
21053,#DIV/0!,7,59,40
21055,#DIV/0!,9.364,118,08
21057,#DIV/0!,13,65,65
21059,#DIV/0!,1.363,152,94
21061,#DIV/0!,6.237,167,77
21063,#DIV/0!,0,.
21065,#DIV/0!,20,45,98
21067,#DIV/0!,125,66,56
21069,#DIV/0!,339,65,85
21071,#DIV/0!,7,41,00
21073,#DIV/0!,3,66,00
21075,#DIV/0!,1.541,133,08
21077,#DIV/0!,0,.
21079,#DIV/0!,20,61,87
21081,#DIV/0!,3,55,00
21083,#DIV/0!,13.264,97,65
21085,#DIV/0!,8.864,100,62
21087,#DIV/0!,13.368,157,10
21089,#DIV/0!,22,71,52
21091,#DIV/0!,299,119,66
21093,#DIV/0!,1.974,111,68
21095,#DIV/0!,0,.
21097,#DIV/0!,272,70,73
21099,#DIV/0!,15.468,200,77
21101,#DIV/0!,3.301,139,97
21103,#DIV/0!,83,78,83
21105,#DIV/0!,3.854,126,36
21107,#DIV/0!,4.889,124,79
21109,#DIV/0!,2,47,96
21111,#DIV/0!,6,72,20
21113,#DIV/0!,14,62,58
21115,#DIV/0!,0,.
21117,#DIV/0!,8,66,46
21119,#DIV/0!,0,.
21121,#DIV/0!,16,56,47
21123,#DIV/0!,683,205,12
21125,#DIV/0!,0,.
21127,#DIV/0!,0,.
21129,#DIV/0!,7,52,20
21131,#DIV/0!,0,.
21133,#DIV/0!,0,.
21135,#DIV/0!,35,64,50
21137,#DIV/0!,113,65,74
21139,#DIV/0!,5.832,93,19
21141,#DIV/0!,18.896,197,11
21143,#DIV/0!,711,88,51
21145,#DIV/0!,1.208,85,40
21147,#DIV/0!,0,.
21149,#DIV/0!,2.269,113,11
21151,#DIV/0!,73,62,08
21153,#DIV/0!,2,74,13
21155,#DIV/0!,933,97,72
21157,#DIV/0!,4.652,98,30
21159,#DIV/0!,0,.
21161,#DIV/0!,123,64,26
21163,#DIV/0!,757,90,16
21165,#DIV/0!,0,.
21167,#DIV/0!,154,58,46
21169,#DIV/0!,5.436,139,27
21171,#DIV/0!,174,82,56
21173,#DIV/0!,204,59,76
21175,#DIV/0!,0,.
21177,#DIV/0!,6.871,95,43
21179,#DIV/0!,537,84,95
21181,#DIV/0!,91,70,15
21183,#DIV/0!,1.326,105,15
21185,#DIV/0!,126,75,88
21187,#DIV/0!,37,69,00
21189,#DIV/0!,0,.
21191,#DIV/0!,152,81,76
21193,#DIV/0!,0,.
21195,#DIV/0!,0,.
21197,#DIV/0!,2,53,20
21199,#DIV/0!,102,73,40
21201,#DIV/0!,1,69,00
21203,#DIV/0!,13,59,91
21205,#DIV/0!,0,.
21207,#DIV/0!,1.260,135,80
21209,#DIV/0!,12,65,52
21211,#DIV/0!,794,90,48
21213,#DIV/0!,3.271,194,24
21215,#DIV/0!,0,.
21217,#DIV/0!,3.961,151,11
21219,#DIV/0!,4.828,155,47
21221,#DIV/0!,2.073,153,28
21223,#DIV/0!,0,.
21225,#DIV/0!,2.956,162,88
21227,#DIV/0!,18.197,216,74
21229,#DIV/0!,475,71,42
21231,#DIV/0!,105,123,02
21233,#DIV/0!,11.435,148,67
21235,#DIV/0!,45,42,00
21237,#DIV/0!,0,.
21239,#DIV/0!,35,63,41
22001,#DIV/0!,10,45,38
22003,#DIV/0!,237,55,51
22005,#DIV/0!,0,.
22007,#DIV/0!,0,.
22009,#DIV/0!,13.755,75,45
22011,#DIV/0!,3.982,38,11
22013,#DIV/0!,32,48,20
22015,#DIV/0!,453,35,11
22017,#DIV/0!,212,64,95
22019,#DIV/0!,0,.
22021,#DIV/0!,6.726,201,67
22023,#DIV/0!,0,.
22025,#DIV/0!,24.806,90,31
22027,#DIV/0!,0,.
22029,#DIV/0!,33.837,104,74
22031,#DIV/0!,272,61,66
22033,#DIV/0!,161,35,91
22035,#DIV/0!,12.885,104,04
22037,#DIV/0!,4.846,27,24
22039,#DIV/0!,3.474,43,70
22041,#DIV/0!,28.311,81,37
22043,#DIV/0!,1.095,74,17
22045,#DIV/0!,11,50,00
22047,#DIV/0!,71,90,39
22049,#DIV/0!,0,.
22051,#DIV/0!,0,.
22053,#DIV/0!,190,70,62
22055,#DIV/0!,0,.
22057,#DIV/0!,0,.
22059,#DIV/0!,468,61,85
22061,#DIV/0!,0,.
22063,#DIV/0!,3,43,20
22065,#DIV/0!,20.082,101,80
22067,#DIV/0!,12.025,86,27
22069,#DIV/0!,10.374,67,97
22071,#DIV/0!,0,.
22073,#DIV/0!,3.319,91,30
22075,#DIV/0!,0,.
22077,#DIV/0!,0,.
22079,#DIV/0!,3.656,86,18
22081,#DIV/0!,5.011,69,65
22083,#DIV/0!,27.024,70,75
22085,#DIV/0!,43,41,16
22087,#DIV/0!,0,.
22089,#DIV/0!,0,.
22091,#DIV/0!,601,21,02
22093,#DIV/0!,0,.
22095,#DIV/0!,0,.
22097,#DIV/0!,4.734,52,81
22099,#DIV/0!,41,53,15
22101,#DIV/0!,0,.
22103,#DIV/0!,0,.
22105,#DIV/0!,852,27,08
22107,#DIV/0!,20.795,109,88
22109,#DIV/0!,0,.
22111,#DIV/0!,0,.
22113,#DIV/0!,0,.
22115,#DIV/0!,180,62,11
22117,#DIV/0!,556,28,24
22119,#DIV/0!,0,.
22121,#DIV/0!,5,45,00
22123,#DIV/0!,41.120,67,77
22125,#DIV/0!,2.962,31,35
22127,#DIV/0!,87,34,05
23001,#DIV/0!,5,58,94
23003,#DIV/0!,7.713,47,14
23005,#DIV/0!,0,.
23007,#DIV/0!,38,55,11
23009,#DIV/0!,0,.
23011,#DIV/0!,0,.
23013,#DIV/0!,0,.
23015,#DIV/0!,0,.
23017,#DIV/0!,13,47,50
23019,#DIV/0!,227,26,95
23021,#DIV/0!,0,.
23023,#DIV/0!,0,.
23025,#DIV/0!,0,.
23027,#DIV/0!,0,.
23029,#DIV/0!,0,49,80
23031,#DIV/0!,0,.
24001,#DIV/0!,719,116,88
24003,#DIV/0!,8,116,19
24005,#DIV/0!,413,136,31
24009,#DIV/0!,149,112,22
24011,#DIV/0!,3.028,162,63
24013,#DIV/0!,7.326,162,62
24015,#DIV/0!,2.008,160,71
24017,#DIV/0!,1.190,128,62
24019,#DIV/0!,7.647,199,44
24021,#DIV/0!,4.056,140,86
24023,#DIV/0!,1.024,81,80
24025,#DIV/0!,940,175,66
24027,#DIV/0!,390,155,96
24029,#DIV/0!,4.867,186,09
24031,#DIV/0!,1.129,111,90
24033,#DIV/0!,295,126,81
24035,#DIV/0!,7.986,207,86
24037,#DIV/0!,1.076,135,54
24039,#DIV/0!,2.796,165,09
24041,#DIV/0!,4.279,204,79
24043,#DIV/0!,1.737,170,35
24045,#DIV/0!,4.812,157,28
24047,#DIV/0!,5.452,185,81
24510,#DIV/0!,0,.
25001,#DIV/0!,0,.
25003,#DIV/0!,0,.
25005,#DIV/0!,0,.
25007,#DIV/0!,0,.
25009,#DIV/0!,0,.
25011,#DIV/0!,10,207,20
25013,#DIV/0!,0,.
25015,#DIV/0!,0,.
25017,#DIV/0!,0,.
25019,#DIV/0!,0,.
25021,#DIV/0!,0,.
25023,#DIV/0!,0,.
25025,#DIV/0!,0,.
25027,#DIV/0!,0,.
26001,#DIV/0!,4,36,40
26003,#DIV/0!,0,.
26005,#DIV/0!,1.546,92,65
26007,#DIV/0!,0,.
26009,#DIV/0!,28,25,30
26011,#DIV/0!,6.679,114,62
26013,#DIV/0!,0,.
26015,#DIV/0!,4.689,88,11
26017,#DIV/0!,4.651,145,84
26019,#DIV/0!,13,24,00
26021,#DIV/0!,1.075,83,02
26023,#DIV/0!,5.288,85,98
26025,#DIV/0!,3.147,85,18
26027,#DIV/0!,1.811,83,01
26029,#DIV/0!,0,.
26031,#DIV/0!,10,40,00
26033,#DIV/0!,295,32,04
26035,#DIV/0!,947,66,11
26037,#DIV/0!,3.370,101,59
26039,#DIV/0!,0,.
26041,#DIV/0!,0,.
26043,#DIV/0!,3,22,00
26045,#DIV/0!,3.054,84,82
26047,#DIV/0!,0,.
26049,#DIV/0!,532,72,44
26051,#DIV/0!,2.328,87,00
26053,#DIV/0!,0,.
26055,#DIV/0!,174,37,03
26057,#DIV/0!,6.066,129,10
26059,#DIV/0!,14.242,112,89
26061,#DIV/0!,1,25,00
26063,#DIV/0!,12.990,136,01
26065,#DIV/0!,164,72,31
26067,#DIV/0!,2.959,104,53
26069,#DIV/0!,870,53,36
26071,#DIV/0!,0,.
26073,#DIV/0!,3.597,85,55
26075,#DIV/0!,1.052,63,04
26077,#DIV/0!,543,66,03
26079,#DIV/0!,15,26,00
26081,#DIV/0!,686,88,10
26083,#DIV/0!,0,.
26085,#DIV/0!,36,47,01
26087,#DIV/0!,735,90,21
26089,#DIV/0!,1,39,80
26091,#DIV/0!,23.599,138,34
26093,#DIV/0!,90,65,68
26095,#DIV/0!,0,.
26097,#DIV/0!,8,26,56
26099,#DIV/0!,0,.
26101,#DIV/0!,13,27,42
26103,#DIV/0!,4,21,00
26105,#DIV/0!,424,69,74
26107,#DIV/0!,1.087,55,09
26109,#DIV/0!,17,20,00
26111,#DIV/0!,3.919,147,97
26113,#DIV/0!,129,56,41
26115,#DIV/0!,2.638,158,21
26117,#DIV/0!,1.975,57,08
26119,#DIV/0!,0,.
26121,#DIV/0!,251,76,55
26123,#DIV/0!,271,52,40
26125,#DIV/0!,0,.
26127,#DIV/0!,520,53,93
26129,#DIV/0!,746,53,89
26131,#DIV/0!,7,21,00
26133,#DIV/0!,660,31,32
26135,#DIV/0!,46,30,00
26137,#DIV/0!,0,.
26139,#DIV/0!,534,85,39
26141,#DIV/0!,310,44,27
26143,#DIV/0!,0,.
26145,#DIV/0!,11.968,154,34
26147,#DIV/0!,52,63,28
26149,#DIV/0!,1.888,85,69
26151,#DIV/0!,6.631,96,36
26153,#DIV/0!,0,.
26155,#DIV/0!,2.880,86,28
26157,#DIV/0!,10.984,135,60
26159,#DIV/0!,1.932,81,42
26161,#DIV/0!,806,84,10
26163,#DIV/0!,0,.
26165,#DIV/0!,101,32,49
27001,#DIV/0!,548,37,11
27003,#DIV/0!,150,49,46
27005,#DIV/0!,25.082,68,27
27007,#DIV/0!,3.029,41,36
27009,#DIV/0!,2.884,55,40
27011,#DIV/0!,7.902,95,14
27013,#DIV/0!,10.818,134,55
27015,#DIV/0!,14.965,140,82
27017,#DIV/0!,260,30,01
27019,#DIV/0!,4.097,174,63
27021,#DIV/0!,585,33,54
27023,#DIV/0!,13.135,136,92
27025,#DIV/0!,412,55,97
27027,#DIV/0!,18.603,81,38
27029,#DIV/0!,2.839,40,70
27031,#DIV/0!,11,31,40
27033,#DIV/0!,12.163,122,82
27035,#DIV/0!,17,32,10
27037,#DIV/0!,2.132,153,73
27039,#DIV/0!,3.313,194,64
27041,#DIV/0!,21.021,78,28
27043,#DIV/0!,5.389,149,12
27045,#DIV/0!,17.809,174,80
27047,#DIV/0!,10.687,197,37
27049,#DIV/0!,6.512,150,40
27051,#DIV/0!,25.109,117,90
27053,#DIV/0!,656,99,75
27055,#DIV/0!,10.996,135,10
27057,#DIV/0!,446,46,99
27059,#DIV/0!,715,50,66
27061,#DIV/0!,548,31,36
27063,#DIV/0!,8.665,136,85
27065,#DIV/0!,189,39,13
27067,#DIV/0!,33.223,131,09
27069,#DIV/0!,81.500,59,64
27071,#DIV/0!,81,32,28
27073,#DIV/0!,26.741,119,61
27075,#DIV/0!,0,.
27077,#DIV/0!,1.049,35,51
27079,#DIV/0!,17.434,176,72
27081,#DIV/0!,27.141,146,21
27083,#DIV/0!,14.482,155,49
27085,#DIV/0!,6.784,168,90
27087,#DIV/0!,5.874,74,85
27089,#DIV/0!,111.107,62,98
27091,#DIV/0!,6.604,148,98
27093,#DIV/0!,17.210,126,37
27095,#DIV/0!,701,53,49
27097,#DIV/0!,5.141,48,52
27099,#DIV/0!,7.949,226,93
27101,#DIV/0!,18.096,129,17
27103,#DIV/0!,4.117,169,23
27105,#DIV/0!,8.608,138,50
27107,#DIV/0!,18.162,66,86
27109,#DIV/0!,6.975,177,64
27111,#DIV/0!,59.127,65,06
27113,#DIV/0!,21.292,52,93
27115,#DIV/0!,180,38,14
27117,#DIV/0!,6.646,120,57
27119,#DIV/0!,66.666,71,30
27121,#DIV/0!,28.949,81,85
27123,#DIV/0!,0,.
27125,#DIV/0!,11.577,54,77
27127,#DIV/0!,16.998,149,11
27129,#DIV/0!,12.929,150,05
27131,#DIV/0!,12.069,144,30
27133,#DIV/0!,2.158,150,54
27135,#DIV/0!,84.121,39,94
27137,#DIV/0!,87,31,28
27139,#DIV/0!,2.804,143,92
27141,#DIV/0!,1.205,44,85
27143,#DIV/0!,5.646,219,12
27145,#DIV/0!,24.684,92,84
27147,#DIV/0!,9.968,159,22
27149,#DIV/0!,12.730,106,85
27151,#DIV/0!,27.224,119,24
27153,#DIV/0!,10.129,60,99
27155,#DIV/0!,16.183,125,10
27157,#DIV/0!,6.365,155,98
27159,#DIV/0!,2.411,43,10
27161,#DIV/0!,8.276,158,48
27163,#DIV/0!,314,71,86
27165,#DIV/0!,5.960,166,18
27167,#DIV/0!,11.283,93,19
27169,#DIV/0!,6.668,143,79
27171,#DIV/0!,7.863,104,27
27173,#DIV/0!,20.144,137,87
28001,#DIV/0!,2.902,58,86
28003,#DIV/0!,5.353,50,10
28005,#DIV/0!,6.487,29,26
28007,#DIV/0!,13.709,66,90
28009,#DIV/0!,4.716,52,33
28011,#DIV/0!,10.009,76,06
28013,#DIV/0!,17.948,104,13
28015,#DIV/0!,17.653,76,75
28017,#DIV/0!,23.543,64,84
28019,#DIV/0!,5.049,44,98
28021,#DIV/0!,8.747,47,62
28023,#DIV/0!,987,27,89
28025,#DIV/0!,16.363,51,43
28027,#DIV/0!,10.819,88,10
28029,#DIV/0!,7.472,46,72
28031,#DIV/0!,1.518,40,53
28033,#DIV/0!,4.389,75,71
28035,#DIV/0!,491,28,22
28037,#DIV/0!,1.944,34,06
28039,#DIV/0!,123,37,23
28041,#DIV/0!,110,34,71
28043,#DIV/0!,8.711,58,56
28045,#DIV/0!,199,22,90
28047,#DIV/0!,0,.
28049,#DIV/0!,25.167,50,17
28051,#DIV/0!,22.427,83,27
28053,#DIV/0!,10.001,90,32
28055,#DIV/0!,6.160,95,00
28057,#DIV/0!,6.946,48,74
28059,#DIV/0!,0,.
28061,#DIV/0!,1.501,38,39
28063,#DIV/0!,3.249,41,40
28065,#DIV/0!,1.206,26,58
28067,#DIV/0!,2.575,36,34
28069,#DIV/0!,4.370,35,82
28071,#DIV/0!,6.868,51,87
28073,#DIV/0!,880,27,82
28075,#DIV/0!,1.290,38,83
28077,#DIV/0!,1.259,44,72
28079,#DIV/0!,4.837,45,18
28081,#DIV/0!,4.096,42,70
28083,#DIV/0!,19.095,79,28
28085,#DIV/0!,2.049,31,99
28087,#DIV/0!,12.079,41,39
28089,#DIV/0!,28.815,56,96
28091,#DIV/0!,3.918,37,53
28093,#DIV/0!,9.667,55,93
28095,#DIV/0!,16.292,52,20
28097,#DIV/0!,6.573,64,48
28099,#DIV/0!,3.089,39,26
28101,#DIV/0!,5.878,35,81
28103,#DIV/0!,22.138,48,48
28105,#DIV/0!,12.093,41,81
28107,#DIV/0!,41.410,63,87
28109,#DIV/0!,5.258,32,50
28111,#DIV/0!,981,28,89
28113,#DIV/0!,1.693,29,22
28115,#DIV/0!,19.878,52,12
28117,#DIV/0!,10.511,61,67
28119,#DIV/0!,30.899,79,16
28121,#DIV/0!,8.000,53,66
28123,#DIV/0!,7.127,39,90
28125,#DIV/0!,13.538,90,89
28127,#DIV/0!,3.512,34,37
28129,#DIV/0!,1.486,38,45
28131,#DIV/0!,520,38,31
28133,#DIV/0!,9.127,76,75
28135,#DIV/0!,26.537,70,61
28137,#DIV/0!,9.137,70,00
28139,#DIV/0!,9.019,51,23
28141,#DIV/0!,3.210,45,29
28143,#DIV/0!,4.508,76,56
28145,#DIV/0!,13.306,47,23
28147,#DIV/0!,7.955,31,94
28149,#DIV/0!,9.091,100,47
28151,#DIV/0!,5.655,85,20
28153,#DIV/0!,392,35,53
28155,#DIV/0!,8.088,77,90
28157,#DIV/0!,5.583,35,23
28159,#DIV/0!,4.341,35,16
28161,#DIV/0!,6.943,57,47
28163,#DIV/0!,43.039,88,73
29001,#DIV/0!,18.018,93,13
29003,#DIV/0!,10.802,108,19
29005,#DIV/0!,5.251,154,92
29007,#DIV/0!,7.013,98,42
29009,#DIV/0!,99,55,52
29011,#DIV/0!,10.064,70,91
29013,#DIV/0!,7.439,79,66
29015,#DIV/0!,727,83,69
29017,#DIV/0!,1.764,75,70
29019,#DIV/0!,3.450,96,44
29021,#DIV/0!,4.480,115,42
29023,#DIV/0!,710,112,30
29025,#DIV/0!,29.807,98,29
29027,#DIV/0!,8.576,102,62
29029,#DIV/0!,34,50,59
29031,#DIV/0!,8.576,85,98
29033,#DIV/0!,44.434,127,05
29035,#DIV/0!,65,50,50
29037,#DIV/0!,8.380,78,74
29039,#DIV/0!,965,69,55
29041,#DIV/0!,23.241,93,52
29043,#DIV/0!,41,63,19
29045,#DIV/0!,16.287,108,60
29047,#DIV/0!,1.508,96,42
29049,#DIV/0!,9.544,99,37
29051,#DIV/0!,1.060,93,10
29053,#DIV/0!,8.085,100,75
29055,#DIV/0!,375,61,23
29057,#DIV/0!,1.951,65,90
29059,#DIV/0!,119,48,48
29061,#DIV/0!,44.635,114,28
29063,#DIV/0!,23.066,110,53
29065,#DIV/0!,90,51,42
29067,#DIV/0!,514,51,12
29069,#DIV/0!,741,102,45
29071,#DIV/0!,2.210,76,62
29073,#DIV/0!,1.385,77,14
29075,#DIV/0!,37.782,117,88
29077,#DIV/0!,15,49,50
29079,#DIV/0!,29.495,119,63
29081,#DIV/0!,66.779,127,66
29083,#DIV/0!,5.372,80,36
29085,#DIV/0!,321,74,92
29087,#DIV/0!,5.639,141,14
29089,#DIV/0!,11.327,99,32
29091,#DIV/0!,329,48,47
29093,#DIV/0!,15,53,64
29095,#DIV/0!,145,82,36
29097,#DIV/0!,3.745,72,18
29099,#DIV/0!,98,73,82
29101,#DIV/0!,5.991,80,29
29103,#DIV/0!,20.654,114,60
29105,#DIV/0!,138,46,92
29107,#DIV/0!,4.732,104,18
29109,#DIV/0!,2.010,65,94
29111,#DIV/0!,12.126,114,35
29113,#DIV/0!,4.310,103,11
29115,#DIV/0!,41.502,92,40
29117,#DIV/0!,23.016,115,88
29119,#DIV/0!,90,58,81
29121,#DIV/0!,33.820,97,95
29123,#DIV/0!,69,62,21
29125,#DIV/0!,611,63,44
29127,#DIV/0!,8.424,123,78
29129,#DIV/0!,24.476,103,42
29131,#DIV/0!,45,62,02
29133,#DIV/0!,2.602,104,34
29135,#DIV/0!,5.451,87,64
29137,#DIV/0!,24.301,105,40
29139,#DIV/0!,3.422,90,84
29141,#DIV/0!,860,84,16
29143,#DIV/0!,2.498,106,83
29145,#DIV/0!,374,63,73
29147,#DIV/0!,33.337,120,42
29149,#DIV/0!,108,49,44
29151,#DIV/0!,1.117,86,12
29153,#DIV/0!,33,49,33
29155,#DIV/0!,907,95,57
29157,#DIV/0!,4.270,87,96
29159,#DIV/0!,8.877,85,04
29161,#DIV/0!,206,55,12
29163,#DIV/0!,8.511,97,10
29165,#DIV/0!,1.813,98,65
29167,#DIV/0!,695,55,24
29169,#DIV/0!,34,54,67
29171,#DIV/0!,20.462,91,14
29173,#DIV/0!,13.883,107,78
29175,#DIV/0!,18.672,100,90
29177,#DIV/0!,18.961,101,19
29179,#DIV/0!,133,64,26
29181,#DIV/0!,1.031,80,89
29183,#DIV/0!,732,92,33
29185,#DIV/0!,2.718,77,53
29186,#DIV/0!,3.604,87,18
29187,#DIV/0!,562,65,35
29189,#DIV/0!,0,.
29195,#DIV/0!,10.011,109,58
29197,#DIV/0!,11.890,100,27
29199,#DIV/0!,27.560,100,64
29201,#DIV/0!,7.704,121,73
29203,#DIV/0!,64,57,92
29205,#DIV/0!,12.067,119,38
29207,#DIV/0!,11.856,91,38
29209,#DIV/0!,117,45,69
29211,#DIV/0!,40.482,91,41
29213,#DIV/0!,161,49,65
29215,#DIV/0!,424,50,95
29217,#DIV/0!,14.072,75,94
29219,#DIV/0!,1.426,84,47
29221,#DIV/0!,8,64,09
29223,#DIV/0!,437,77,94
29225,#DIV/0!,24,49,31
29227,#DIV/0!,23.246,126,31
29229,#DIV/0!,19,49,80
29510,#DIV/0!,0,.
30001,#DIV/0!,127,24,30
30003,#DIV/0!,12.631,28,77
