FIPS,County_Surface,ACRES_2016,2016
6051,#DIV/0!,0,.
6053,#DIV/0!,11.029,50,21
6055,#DIV/0!,0,.
6057,#DIV/0!,0,.
6059,#DIV/0!,0,.
6061,#DIV/0!,0,.
6063,#DIV/0!,3,53,20
6065,#DIV/0!,0,.
6067,#DIV/0!,0,.
6069,#DIV/0!,0,.
6071,#DIV/0!,0,.
6073,#DIV/0!,0,.
6075,#DIV/0!,0,.
6077,#DIV/0!,0,.
6079,#DIV/0!,41.168,42,22
6081,#DIV/0!,0,.
6083,#DIV/0!,0,.
6085,#DIV/0!,0,.
6087,#DIV/0!,0,.
6089,#DIV/0!,0,.
6091,#DIV/0!,0,.
6093,#DIV/0!,8.954,55,40
6095,#DIV/0!,284,105,00
6097,#DIV/0!,0,.
6099,#DIV/0!,587,22,00
6101,#DIV/0!,1.023,43,96
6103,#DIV/0!,106,66,60
6105,#DIV/0!,0,.
6107,#DIV/0!,0,.
6109,#DIV/0!,0,.
6111,#DIV/0!,0,.
6113,#DIV/0!,8.644,36,25
6115,#DIV/0!,0,.
8001,#DIV/0!,32.727,24,24
8003,#DIV/0!,3.477,175,00
8005,#DIV/0!,14.693,21,39
8007,#DIV/0!,0,.
8009,#DIV/0!,261.460,34,30
8011,#DIV/0!,33.223,36,62
8013,#DIV/0!,162,25,57
8015,#DIV/0!,0,.
8017,#DIV/0!,120.962,33,16
8019,#DIV/0!,0,.
8021,#DIV/0!,51,41,60
8023,#DIV/0!,13,30,00
8025,#DIV/0!,21.260,34,82
8027,#DIV/0!,0,.
8029,#DIV/0!,0,.
8031,#DIV/0!,0,.
8033,#DIV/0!,17.631,37,15
8035,#DIV/0!,0,.
8037,#DIV/0!,0,.
8039,#DIV/0!,38.553,31,51
8041,#DIV/0!,13.470,34,29
8043,#DIV/0!,0,.
8045,#DIV/0!,82,32,48
8047,#DIV/0!,0,.
8049,#DIV/0!,0,.
8051,#DIV/0!,5,49,80
8053,#DIV/0!,0,.
8055,#DIV/0!,504,34,71
8057,#DIV/0!,8,46,00
8059,#DIV/0!,0,.
8061,#DIV/0!,175.255,32,89
8063,#DIV/0!,108.624,40,21
8065,#DIV/0!,0,.
8067,#DIV/0!,9.205,46,76
8069,#DIV/0!,527,31,70
8071,#DIV/0!,19.757,35,35
8073,#DIV/0!,107.929,29,69
8075,#DIV/0!,88.940,35,04
8077,#DIV/0!,0,.
8079,#DIV/0!,0,.
8081,#DIV/0!,25.070,30,28
8083,#DIV/0!,12.107,38,04
8085,#DIV/0!,26,45,00
8087,#DIV/0!,51.142,30,91
8089,#DIV/0!,2.014,35,26
8091,#DIV/0!,0,.
8093,#DIV/0!,7,47,40
8095,#DIV/0!,35.419,43,44
8097,#DIV/0!,0,.
8099,#DIV/0!,152.511,34,53
8101,#DIV/0!,36.137,37,94
8103,#DIV/0!,5,45,92
8105,#DIV/0!,665,175,00
8107,#DIV/0!,15.402,34,42
8109,#DIV/0!,1.713,175,00
8111,#DIV/0!,0,.
8113,#DIV/0!,5.003,37,17
8115,#DIV/0!,11.635,38,14
8117,#DIV/0!,0,.
8119,#DIV/0!,0,.
8121,#DIV/0!,122.467,32,08
8123,#DIV/0!,219.046,32,96
8125,#DIV/0!,94.572,48,11
9001,#DIV/0!,0,.
9003,#DIV/0!,0,.
9005,#DIV/0!,44,72,23
9007,#DIV/0!,0,.
9009,#DIV/0!,7,53,00
9011,#DIV/0!,0,.
9013,#DIV/0!,0,.
9015,#DIV/0!,1,67,00
10001,#DIV/0!,1.967,120,29
10003,#DIV/0!,441,97,79
10005,#DIV/0!,2.160,121,42
12001,#DIV/0!,0,.
12003,#DIV/0!,0,.
