FIPS,ACRES_2016,2016
13099,9.820,55.24
13101,253,59.34
13103,22,23.25
13105,390,26.38
13107,6.190,50.97
13109,1.043,57.17
13111,22,72.13
13113,0,0
13115,1.084,53.24
13117,0,0
13119,249,31.39
13121,0,0
13123,0,0
13125,252,37.79
13127,0,0
13129,95,47.91
13131,6.461,69.91
13133,79,25.33
13135,0,0
13137,0,0
13139,49,3600
13141,254,2900
13143,0,0
13145,295,37.57
13147,1.077,28.63
13149,25,29.59
13151,0,0
13153,667,47.41
13155,2.354,75.67
13157,96,24.49
13159,106,26.5
13161,486,86.49
13163,1.818,36.74
13165,2.769,53.65
13167,2.722,41.41
13169,153,47.86
13171,68,47.85
13173,612,71.94
13175,11.023,43.59
13177,5.454,69.59
13179,0,0
13181,92,29.41
13183,0,0
13185,1.583,87.25
13187,0,0
13189,149,4500
13191,0,0
13193,6.186,44.34
13195,760,37.77
13197,646,34.96
13199,1.021,33.64
13201,718,59.62
13205,4.690,74.13
13207,151,36.41
13209,1.414,59.35
13211,491,25.83
13213,157,64.94
13215,0,0
13217,161,31.87
13219,763,34.6
13221,404,26.83
13223,0,0
13225,382,47.4
13227,6,48.4
13229,433,59.55
13231,518,45.97
13233,616,37.69
13235,1.370,61.5
13237,0,0
13239,982,4400
13241,0,0
13243,6.065,48.88
13245,175,32.38
13247,0,0
13249,1.846,48.91
13251,5.209,47.73
13253,1.045,66.64
13255,9,40.4
13257,0,0
13259,2.631,60.6
13261,12.096,66.46
13263,278,32.84
13265,0,0
13267,3.404,61.49
13269,1.602,38.79
13271,2.052,64.82
13273,15.206,61.41
13275,5.276,83.14
13277,1.481,75.22
13279,2.114,55.65
13281,0,0
13283,1.017,53.47
13285,49,29.68
13287,8.022,74.27
13289,293,49.88
13291,0,0
13293,306,41.38
13295,140,45.47
13297,977,30.87
13299,356,70.19
13301,621,34.64
13303,2.536,40.18
13305,124,56.41
13307,2.638,58.97
13309,881,67.26
13311,0,0
13313,124,47.92
13315,6.146,60.4
13317,361,27.47
13319,651,40.5
13321,5.620,69.34
15001,975,48.82
15003,0,0
15007,0,0
15009,21,88.99
16001,0,0
16003,1.627,40.52
16005,60.196,41.13
16007,15.043,39.19
16009,6.898,71.06
16011,25.035,70.63
16013,774,76.49
16015,13,44.8
16017,118,46.6
16019,54.433,51.11
16021,585,56.47
16023,703,49.47
16025,3.610,61.26
16027,0,0
16029,41.652,49.62
16031,54.363,69.43
16033,4.816,44.07
16035,2.500,62.89
16037,387,52.53
16039,629,31.99
16041,30.660,50.72
16043,23.201,47.86
16045,71,50.79
16047,0,0
16049,7.286,75.25
16051,4.612,76.78
16053,592,13400
16055,7.184,59.92
16057,23.288,63.24
16059,0,0
16061,5.343,72.07
16063,495,13400
16065,14.821,49.62
16067,4.622,128.46
16069,7.983,85.46
16071,48.858,39.34
16073,0,0
16075,124,53.56
16077,95.441,45.74
16079,0,0
16081,13.069,3600
16083,2.312,62.48
16085,34,60.4
16087,5.710,36.72
17001,17.255,134.28
17003,2.043,124.33
17005,7.840,172.92
17007,777,197.86
17009,13.230,187.25
17011,12.388,210.66
17013,9.190,163.22
17015,9.705,207.21
17017,13.228,210.09
17019,9.522,236.41
17021,8.551,237.98
17023,8.512,171.61
17025,17.109,137.66
17027,5.457,140.74
