fid,lat,lng
261,89.50,81.50
262,89.50,82.50
263,89.50,83.50
264,89.50,84.50
265,89.50,85.50
266,89.50,86.50
267,89.50,87.50
268,89.50,88.50
269,89.50,89.50
270,89.50,90.50
271,89.50,91.50
272,89.50,92.50
273,89.50,93.50
274,89.50,94.50
275,89.50,95.50
276,89.50,96.50
277,89.50,97.50
278,89.50,98.50
279,89.50,99.50
280,89.50,100.50
281,89.50,101.50
282,89.50,102.50
283,89.50,103.50
284,89.50,104.50
285,89.50,105.50
286,89.50,106.50
287,89.50,107.50
288,89.50,108.50
289,89.50,109.50
290,89.50,110.50
291,89.50,111.50
292,89.50,112.50
293,89.50,113.50
294,89.50,114.50
295,89.50,115.50
296,89.50,116.50
297,89.50,117.50
298,89.50,118.50
299,89.50,119.50
300,89.50,120.50
301,89.50,121.50
302,89.50,122.50
303,89.50,123.50
304,89.50,124.50
305,89.50,125.50
306,89.50,126.50
307,89.50,127.50
308,89.50,128.50
309,89.50,129.50
310,89.50,130.50
311,89.50,131.50
312,89.50,132.50
313,89.50,133.50
314,89.50,134.50
315,89.50,135.50
316,89.50,136.50
317,89.50,137.50
318,89.50,138.50
319,89.50,139.50
320,89.50,140.50
321,89.50,141.50
322,89.50,142.50
323,89.50,143.50
324,89.50,144.50
325,89.50,145.50
326,89.50,146.50
327,89.50,147.50
328,89.50,148.50
329,89.50,149.50
330,89.50,150.50
331,89.50,151.50
332,89.50,152.50
333,89.50,153.50
334,89.50,154.50
335,89.50,155.50
336,89.50,156.50
337,89.50,157.50
338,89.50,158.50
339,89.50,159.50
340,89.50,160.50
341,89.50,161.50
342,89.50,162.50
343,89.50,163.50
344,89.50,164.50
345,89.50,165.50
346,89.50,166.50
347,89.50,167.50
348,89.50,168.50
349,89.50,169.50
350,89.50,170.50
351,89.50,171.50
352,89.50,172.50
353,89.50,173.50
354,89.50,174.50
355,89.50,175.50
356,89.50,176.50
357,89.50,177.50
358,89.50,178.50
359,89.50,179.50
360,88.50,-179.50
361,88.50,-178.50
362,88.50,-177.50
363,88.50,-176.50
364,88.50,-175.50
365,88.50,-174.50
366,88.50,-173.50
367,88.50,-172.50
368,88.50,-171.50
369,88.50,-170.50
370,88.50,-169.50
371,88.50,-168.50
372,88.50,-167.50
373,88.50,-166.50
374,88.50,-165.50
375,88.50,-164.50
376,88.50,-163.50
377,88.50,-162.50
378,88.50,-161.50
379,88.50,-160.50
380,88.50,-159.50
381,88.50,-158.50
382,88.50,-157.50
383,88.50,-156.50
384,88.50,-155.50
385,88.50,-154.50
386,88.50,-153.50
387,88.50,-152.50
388,88.50,-151.50
389,88.50,-150.50
390,88.50,-149.50
391,88.50,-148.50
392,88.50,-147.50
393,88.50,-146.50
394,88.50,-145.50
395,88.50,-144.50
396,88.50,-143.50
397,88.50,-142.50
398,88.50,-141.50
399,88.50,-140.50
400,88.50,-139.50
401,88.50,-138.50
402,88.50,-137.50
403,88.50,-136.50
404,88.50,-135.50
405,88.50,-134.50
406,88.50,-133.50
407,88.50,-132.50
408,88.50,-131.50
409,88.50,-130.50
410,88.50,-129.50
411,88.50,-128.50
412,88.50,-127.50
413,88.50,-126.50
414,88.50,-125.50
415,88.50,-124.50
416,88.50,-123.50
417,88.50,-122.50
418,88.50,-121.50
419,88.50,-120.50
420,88.50,-119.50
421,88.50,-118.50
422,88.50,-117.50
423,88.50,-116.50
424,88.50,-115.50
425,88.50,-114.50
426,88.50,-113.50
427,88.50,-112.50
428,88.50,-111.50
429,88.50,-110.50
430,88.50,-109.50
431,88.50,-108.50
432,88.50,-107.50
433,88.50,-106.50
434,88.50,-105.50
435,88.50,-104.50
436,88.50,-103.50
437,88.50,-102.50
438,88.50,-101.50
439,88.50,-100.50
440,88.50,-99.50
441,88.50,-98.50
442,88.50,-97.50
443,88.50,-96.50
444,88.50,-95.50
445,88.50,-94.50
446,88.50,-93.50
447,88.50,-92.50
448,88.50,-91.50
449,88.50,-90.50
450,88.50,-89.50
451,88.50,-88.50
452,88.50,-87.50
453,88.50,-86.50
454,88.50,-85.50
455,88.50,-84.50
456,88.50,-83.50
457,88.50,-82.50
458,88.50,-81.50
459,88.50,-80.50
460,88.50,-79.50
461,88.50,-78.50
462,88.50,-77.50
463,88.50,-76.50
464,88.50,-75.50
465,88.50,-74.50
466,88.50,-73.50
467,88.50,-72.50
468,88.50,-71.50
469,88.50,-70.50
470,88.50,-69.50
471,88.50,-68.50
472,88.50,-67.50
473,88.50,-66.50
474,88.50,-65.50
475,88.50,-64.50
476,88.50,-63.50
477,88.50,-62.50
478,88.50,-61.50
479,88.50,-60.50
480,88.50,-59.50
481,88.50,-58.50
482,88.50,-57.50
483,88.50,-56.50
484,88.50,-55.50
485,88.50,-54.50
486,88.50,-53.50
487,88.50,-52.50
488,88.50,-51.50
489,88.50,-50.50
490,88.50,-49.50
491,88.50,-48.50
492,88.50,-47.50
493,88.50,-46.50
494,88.50,-45.50
495,88.50,-44.50
496,88.50,-43.50
497,88.50,-42.50
498,88.50,-41.50
499,88.50,-40.50
500,88.50,-39.50
501,88.50,-38.50
502,88.50,-37.50
503,88.50,-36.50
504,88.50,-35.50
505,88.50,-34.50
506,88.50,-33.50
507,88.50,-32.50
508,88.50,-31.50
509,88.50,-30.50
510,88.50,-29.50
511,88.50,-28.50
512,88.50,-27.50
513,88.50,-26.50
514,88.50,-25.50
515,88.50,-24.50
516,88.50,-23.50
517,88.50,-22.50
518,88.50,-21.50
519,88.50,-20.50
520,88.50,-19.50
521,88.50,-18.50
522,88.50,-17.50
523,88.50,-16.50
524,88.50,-15.50
525,88.50,-14.50
526,88.50,-13.50
527,88.50,-12.50
528,88.50,-11.50
529,88.50,-10.50
530,88.50,-9.50
531,88.50,-8.50
532,88.50,-7.50
533,88.50,-6.50
534,88.50,-5.50
535,88.50,-4.50
536,88.50,-3.50
537,88.50,-2.50
538,88.50,-1.50
539,88.50,-0.50
540,88.50,0.50
541,88.50,1.50
542,88.50,2.50
543,88.50,3.50
544,88.50,4.50
545,88.50,5.50
546,88.50,6.50
547,88.50,7.50
548,88.50,8.50
549,88.50,9.50
550,88.50,10.50
551,88.50,11.50
552,88.50,12.50
553,88.50,13.50
554,88.50,14.50
555,88.50,15.50
556,88.50,16.50
557,88.50,17.50
558,88.50,18.50
559,88.50,19.50
560,88.50,20.50
561,88.50,21.50
562,88.50,22.50
563,88.50,23.50
564,88.50,24.50
565,88.50,25.50
566,88.50,26.50
567,88.50,27.50
568,88.50,28.50
569,88.50,29.50
570,88.50,30.50
571,88.50,31.50
572,88.50,32.50
573,88.50,33.50
574,88.50,34.50
575,88.50,35.50
576,88.50,36.50
577,88.50,37.50
578,88.50,38.50
579,88.50,39.50
580,88.50,40.50
581,88.50,41.50
582,88.50,42.50
583,88.50,43.50
584,88.50,44.50
585,88.50,45.50
586,88.50,46.50
587,88.50,47.50
588,88.50,48.50
589,88.50,49.50
590,88.50,50.50
591,88.50,51.50
592,88.50,52.50
593,88.50,53.50
594,88.50,54.50
595,88.50,55.50
596,88.50,56.50
597,88.50,57.50
598,88.50,58.50
599,88.50,59.50
600,88.50,60.50
601,88.50,61.50
602,88.50,62.50
603,88.50,63.50
604,88.50,64.50
605,88.50,65.50
606,88.50,66.50
607,88.50,67.50
608,88.50,68.50
609,88.50,69.50
610,88.50,70.50
611,88.50,71.50
612,88.50,72.50
613,88.50,73.50
614,88.50,74.50
615,88.50,75.50
616,88.50,76.50
617,88.50,77.50
618,88.50,78.50
619,88.50,79.50
620,88.50,80.50
621,88.50,81.50
622,88.50,82.50
623,88.50,83.50
624,88.50,84.50
625,88.50,85.50
626,88.50,86.50
627,88.50,87.50
628,88.50,88.50
629,88.50,89.50
630,88.50,90.50
631,88.50,91.50
632,88.50,92.50
633,88.50,93.50
634,88.50,94.50
635,88.50,95.50
636,88.50,96.50
637,88.50,97.50
638,88.50,98.50
639,88.50,99.50
640,88.50,100.50
641,88.50,101.50
642,88.50,102.50
643,88.50,103.50
644,88.50,104.50
645,88.50,105.50
646,88.50,106.50
647,88.50,107.50
648,88.50,108.50
649,88.50,109.50
650,88.50,110.50
651,88.50,111.50
652,88.50,112.50
653,88.50,113.50
654,88.50,114.50
655,88.50,115.50
656,88.50,116.50
657,88.50,117.50
658,88.50,118.50
659,88.50,119.50
660,88.50,120.50
661,88.50,121.50
662,88.50,122.50
663,88.50,123.50
664,88.50,124.50
665,88.50,125.50
666,88.50,126.50
667,88.50,127.50
668,88.50,128.50
669,88.50,129.50
670,88.50,130.50
671,88.50,131.50
672,88.50,132.50
673,88.50,133.50
674,88.50,134.50
675,88.50,135.50
