fid,country,region,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,rurpopcur,rurpopssp1,rurpopssp3,rurpopssp5
3485,Russia,Eurasia,0,0,0,0,0,0,0,0
3498,Russia,Eurasia,0,0,0,0,0,0,0,0
3499,Russia,Eurasia,0,0,0,0,0,0,0,0
3500,Russia,Eurasia,0,0,0,0,0,0,0,0
3510,Russia,Eurasia,0,0,0,0,0,0,0,0
3511,Russia,Eurasia,0,0,0,0,0,0,0,0
3512,Russia,Eurasia,0,0,0,0,0,0,0,0
3513,Russia,Eurasia,0,0,0,0,0,0,0,0
3514,Russia,Eurasia,0,0,0,0,0,0,0,0
3515,Russia,Eurasia,0,0,0,0,0,0,0,0
3516,Russia,Eurasia,0,0,0,0,0,0,0,0
3517,Russia,Eurasia,0,0,0,0,0,0,0,0
3518,Russia,Eurasia,0,0,0,0,0,0,0,0
3519,Russia,Eurasia,0,0,0,0,0,0,0,0
3674,Canada,North America,0,0,0,0,0,0,0,0
3675,Canada,North America,0,0,0,0,0,0,0,0
3676,Canada,North America,0,0,0,0,0,0,0,0
3677,Canada,North America,0,0,0,0,0,0,0,0
3678,Canada,North America,0,0,0,0,0,0,0,0
3679,Canada,North America,0,0,0,0,0,0,0,0
3680,Canada,North America,0,0,0,0,0,0,0,0
3681,Canada,North America,0,0,0,0,0,0,0,0
3683,Canada,North America,0,0,0,0,0,0,0,0
3684,Canada,North America,0,0,0,0,0,0,0,0
3685,Canada,North America,0,0,0,0,0,0,0,0
3686,Canada,North America,0,0,0,0,0,0,0,0
3687,Canada,North America,0,0,0,0,0,0,0,0
3688,Canada,North America,0,0,0,0,0,0,0,0
3689,Canada,North America,0,0,0,0,0,0,0,0
3690,Canada,North America,0,0,0,0,0,0,0,0
3691,Canada,North America,0,0,0,0,0,0,0,0
3692,Canada,North America,0,0,0,0,0,0,0,0
3693,Canada,North America,0,0,0,0,0,0,0,0
3694,Canada,North America,0,0,0,0,0,0,0,0
3695,Canada,North America,0,0,0,0,0,0,0,0
3696,Canada,North America,0,0,0,0,0,0,0,0
3697,Canada,North America,0,0,0,0,0,0,0,0
3698,Canada,North America,0,0,0,0,0,0,0,0
3699,Canada,North America,0,0,0,0,0,0,0,0
3700,Canada,North America,0,0,0,0,0,0,0,0
3701,Canada,North America,0,0,0,0,0,0,0,0
3702,Canada,North America,0,0,0,0,0,0,0,0
3703,Canada,North America,0,0,0,0,0,0,0,0
3704,Canada,North America,0,0,0,0,0,0,0,0
3705,Canada,North America,0,0,0,0,0,0,0,0
3706,Canada,North America,0,0,0,0,0,0,0,0
3707,Canada,North America,0,0,0,0,0,0,0,0
3708,Canada,North America,0,0,0,0,0,0,0,0
3709,Canada,North America,0,0,0,0,0,0,0,0
3711,Greenland,Eurasia,0,0,0,0,0,0,0,0
3712,Greenland,Eurasia,0,0,0,0,0,0,0,0
3713,Greenland,Eurasia,0,0,0,0,0,0,0,0
3714,Greenland,Eurasia,0,0,0,0,0,0,0,0
3715,Greenland,Eurasia,0,0,0,0,0,0,0,0
3716,Greenland,Eurasia,0,0,0,0,0,0,0,0
3717,Greenland,Eurasia,0,0,0,0,0,0,0,0
3718,Greenland,Eurasia,0,0,0,0,0,0,0,0
3719,Greenland,Eurasia,0,0,0,0,0,0,0,0
3720,Greenland,Eurasia,0,0,0,0,0,0,0,0
3721,Greenland,Eurasia,0,0,0,0,0,0,0,0
3722,Greenland,Eurasia,0,0,0,0,0,0,0,0
3723,Greenland,Eurasia,0,0,0,0,0,0,0,0
3724,Greenland,Eurasia,0,0,0,0,0,0,0,0
3725,Greenland,Eurasia,0,0,0,0,0,0,0,0
3726,Greenland,Eurasia,0,0,0,0,0,0,0,0
3727,Greenland,Eurasia,0,0,0,0,0,0,0,0
3728,Greenland,Eurasia,0,0,0,0,0,0,0,0
3729,Greenland,Eurasia,0,0,0,0,0,0,0,0
3730,Greenland,Eurasia,0,0,0,0,0,0,0,0
3731,Greenland,Eurasia,0,0,0,0,0,0,0,0
3732,Greenland,Eurasia,0,0,0,0,0,0,0,0
3733,Greenland,Eurasia,0,0,0,0,0,0,0,0
3734,Greenland,Eurasia,0,0,0,0,0,0,0,0
3735,Greenland,Eurasia,0,0,0,0,0,0,0,0
3736,Greenland,Eurasia,0,0,0,0,0,0,0,0
3737,Greenland,Eurasia,0,0,0,0,0,0,0,0
