fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
10302,0,0,0,0,29664.26172,18547.02148,25302.49609,19749.67578
10303,0,0,0,0,17741.83398,10886.61914,14687.11426,11439.27539
10304,0,0,0,0,15679.95313,9664.797852,12855.35352,10086.25879
10305,0,0.953492528,0.953492528,0.953492528,25676.35547,15583.51953,21318.125,17126.11328
10306,0.000370194,0.002253606,0.002253606,0.002253606,106153.0625,91295.14844,97401.82813,97000.22656
10307,0,0,0,0,61660.76563,58153.94141,58215.26563,61355.50781
10308,0,0,0,0,12722.09277,7627.791992,10767.44531,8436.892578
10309,0,0,0,0,12652.55371,7555.949219,10786.54395,8485.030273
10310,0,0,0,0,16062.71973,11267.23438,14067.51367,12265.57422
10311,0,0,0,0,8869.166016,5541.148438,7441.336914,6047.249023
10312,0,0,0,0,10662.6543,6651.330078,8715.37207,7107.668457
10313,0,0,0,0,10969.72852,6877.84082,8924.740234,7144.518555
10314,0,0,0,0,10409.23633,6526.158203,8470.600586,6751.321289
10325,0,0,0,0,17955.68164,10746.63477,15338.25781,11896.14844
10618,0,0,0,0,34921.63281,25898.32813,28935.77539,31409.51758
10619,0,0,0,0,1251.821533,1430.560181,1645.203369,1573.450073
10624,11.6886756,8.920474375,10.34528116,15.12216243,19836.125,28000.53906,22553.36719,33232.42969
10625,25.66670516,38.08608072,16.25623274,107.1525701,468047.8438,731817.5,557228.125,857943.25
10630,6276.455297,6283.710396,6389.44215,6728.640476,1220250.625,1973571.25,1473288.125,2334200.5
10631,48717.98405,50697.92858,51400.81662,54553.28498,0,0,0,0
10632,9653.245138,10610.50895,10589.40377,11993.03576,0,0,0,0
10633,0,0,0,0,46008.92578,60030.85156,45297.26953,72479.13281
10634,0,0,0,0,42072.35938,54772.78906,41414.45313,66082.60938
10635,0,0,0,0,175179.6719,235779.6875,184268.0313,278516.5938
10636,0.146145847,0.161857391,0.155597139,0.719067563,163463.2188,223387.6406,173146.0625,265034.9688
10637,6019.477915,6880.166731,6767.370142,8167.341892,0,0,0,0
10638,2837.843725,4992.573751,4685.422086,6815.563341,0,0,0,0
10641,9901.313893,9562.603159,9790.024807,10067.4726,0,0,0,0
10642,57215.55693,62251.99923,61792.41602,75493.16134,0,0,0,0
10643,51147.34257,58043.61535,58035.96202,70018.38113,0,0,0,0
10644,2270.768449,3320.339395,3309.555353,3509.24283,964604.875,1194253.5,978428.3125,1340982.5
10645,2426.049821,2438.326106,2438.958967,2708.876848,709840.8125,878615.625,719433.125,986882.75
10646,5079.989736,6612.318771,6598.185042,8431.293127,0,0,0,0
10647,899.696839,1228.902229,1150.564757,2708.55718,0,0,0,0
10648,0.00379207,54.91798172,54.63240669,62.0899764,62991.91016,0,54477.66797,0
10649,0.67924023,0.67924023,0.67924023,0.67924023,494472.3438,412568.0313,452701.9375,436377.5
10650,34.77176922,35.20675163,35.20675163,35.20675163,5319403.5,5557421,5218725,5826529
10651,0,0,0,0,115091.6875,107660.6172,130519.0078,113760.75
10652,0.372096444,0.372096444,0.372096444,0.372096444,62446.79688,51587.48438,65470.16406,54720.3125
10653,0,0,0,0,63115.59375,38094.97656,53294.375,42076.05469
10654,0,0,0,0,48778.85547,28576.12109,40802.68359,32119.20117
10655,0,0,0,0,23113.75586,13896.14063,19236.22656,15188.77539
10656,0,0,0,0,17150.48242,10304.33984,14394.46289,11293.80566
10657,4.812284789,4.812284789,4.812284789,4.812284789,15675.72363,9580.066406,13450.43359,10393.64648
10658,0,0,0,0,19470.79883,11549.24707,16210.51367,12596.64258
10659,0,0,0,0,23662.54688,14199.01172,19834.3125,15420.54102
10660,0,0,0,0,28968.28711,17550.07617,24398.63281,19143.81445
10661,0,0,0,0,22029.78711,13316.64453,18619.01563,14683.4248
10662,0,0,0,0,18040.14063,10960.24609,15358.92383,12111.25586
10663,0,0,0,0,0,0,0,0
10664,0,0,0,0,12486.34766,7689.829102,10407.38281,8201.027344
10665,0,0,0,0,24039.13672,14592.70508,20338.85742,16048.94434
