UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0,0.0,0.0,57.20919037,31.11150932,44.99606705,41.88282013,62.5,55.5
0.0,0.0,0.0,0.0,382.3259888,216.4058838,299.75305180000004,258.8051758,62.5,56.5
0.0,0.0,0.0,0.0,285.0512695,170.29058840000002,240.42628480000002,190.1724396,62.5,57.5
0.0,0.0,0.0,0.0,1346.123901,786.3054199,1121.597534,897.2122191999999,62.5,58.5
0.0,0.0,0.0,0.0,797.4667357999999,465.5938416,664.5482178,531.3696899,62.5,59.5
0.0,0.0,0.0,0.0,81.85025787,49.51974487,66.76576233,53.61811829,61.5,36.5
0.0,0.0,0.0,0.0,4849.773926,2945.955811,3957.5424799999996,3193.700195,61.5,37.5
0.0,0.0,0.0,0.0,1008.770081,625.7713623,817.2706909,670.2476807,61.5,52.5
0.0,0.0,0.0,0.0,795.2402344,499.22027589999993,647.2302246,518.0349121,61.5,53.5
0.0,0.0,0.0,0.0,2485.95752,1581.9727779999998,2033.965454,1581.9727779999998,61.5,54.5
0.0,0.0,0.0,0.0,4662.134765999999,2796.58374,3872.5722659999997,3084.027344,61.5,55.5
0.0,0.0,0.0,0.0,7109.632323999999,4179.660645,5948.433105,4724.552734000001,61.5,56.5
0.0,0.0,0.0,0.0,8726.446289,5151.776855,7349.599120999999,5853.655761999999,61.5,57.5
0.0,0.0,0.0,0.0,9515.490234,5551.45459,7932.625,6341.670897999999,61.5,58.5
0.0,0.0,0.0,0.0,5309.254883,3121.379395,4434.141113000001,3527.881836,61.5,59.5
114366.1875,119301.4375,121097.1016,120417.8281,14052.66504,8378.854492,11725.374020000001,9200.080078,60.5,34.5
79378.9375,92138.80469,86831.42969,85177.88281,10800.55273,6474.681640999999,9086.223633,7197.253906,60.5,35.5
24809.89844,27129.410160000003,26911.695310000003,26575.85742,17020.78125,10167.73145,14271.2168,11080.2959,60.5,36.5
2092.191162,2508.282959,2302.869873,2160.947021,14423.93848,8624.102539,12022.12305,9384.376953,60.5,37.5
0.0,0.0,0.0,0.0,498.28344730000003,297.39328,414.16561889999997,324.72399900000005,60.5,38.5
0.0,0.0,0.0,0.0,3.23012352,1.977626801,2.702756405,2.10946846,60.5,47.5
0.0,0.0,0.0,0.0,648.9656982000001,402.9024048,562.4633179,468.5238647,60.5,50.5
7.395208359,7.6438078879999996,7.76413393,7.85324192,1376.946411,864.8579102,1181.5,984.4287108999999,60.5,51.5
3258.769531,3408.736572,3455.162598,3488.873535,17449.96875,10914.93262,14390.05762,11286.54199,60.5,52.5
29471.92578,31412.375,31713.86328,32115.585939999997,23797.26563,14767.1377,19640.84961,15304.7168,60.5,53.5
18539.81445,19397.71875,19513.55469,19801.67188,25480.08789,15961.927730000001,20961.80469,16344.478519999999,60.5,54.5
28070.59375,31133.71289,31402.05273,31877.31445,18427.28125,11228.3623,15450.1875,12032.67188,60.5,55.5
99224.76563,107319.9688,107879.7656,109085.0234,12613.44531,7555.04541,10696.80664,8449.210938,60.5,56.5
159199.8438,169298.6875,171265.0938,173261.3125,15738.46484,9592.654297,13496.37793,10694.16797,60.5,57.5
236896.5,241252.9375,250966.4844,250710.8438,19980.97852,12038.83887,16789.41016,13291.186520000001,60.5,58.5
291296.0938,297750.9688,310316.75,309851.2188,18087.30469,10929.85742,15171.92969,11959.0791,60.5,59.5
564.5563965,915.0787354,926.1712646,932.25,6.20277977,4.135186195,6.20277977,4.135186195,60.5,83.5
0.0,0.0,0.0,0.0,10.57093525,7.047289847999999,10.57093525,7.047289847999999,60.5,84.5
21183.00586,21709.97266,22211.45703,21961.55859,102.0281982,68.01879883,100.4359131,68.01879883,60.5,89.5
77976.45313,80271.34375,82712.25781,81983.5625,413.16888430000006,277.0722961,411.96844480000004,278.2930298,60.5,90.5
94299.0625,95523.40625,99255.01563,98484.34375,544.0177002,362.6784668,544.0177002,362.6784668,60.5,91.5
4024.397949,4064.693115,4232.706055,4203.94873,8.83146286,5.887642383999999,8.83146286,5.887642383999999,60.5,92.5
18558.30078,18783.26953,19520.36719,19346.45508,325.92944339999997,217.2863159,325.92944339999997,217.2863159,60.5,93.5
2009.87793,2033.345825,2101.7971190000003,2094.511719,199.0834045,132.1683655,197.9756012,132.72227479999998,60.5,94.5
0.0,0.0,0.0,0.0,64.91882324,40.25780487,55.81785202,47.22915649,60.5,99.5
0.0,0.0,0.0,0.0,1.069540977,0.540148437,0.804844558,0.7940886620000001,60.5,109.5
0.0,0.0,0.0,0.0,175.2848358,87.64241791,131.46362299999998,131.46362299999998,60.5,112.5
160.80221559999998,169.751297,166.7178497,171.9670715,409.6558228,204.8279114,307.2418213,287.06304930000005,60.5,113.5
1145.232422,1207.2092289999998,1184.966797,1225.91626,296.0662231,149.9349976,224.3521423,216.4737244,60.5,114.5
1168.08667,1187.3636470000001,1200.641846,1198.90271,51.55448914,32.19845581,51.55448914,38.71206284,60.5,131.5
305052.4375,156380.3594,156680.5156,156964.0,436.9996033,415.4629211,298.8738403,515.987793,59.5,-136.5
601635.25,363563.8125,362758.8438,364793.75,1749.015137,1534.49646,1133.8845210000002,1901.825073,59.5,-135.5
23014.67773,18487.75977,18526.80859,18544.19141,1.051860571,0.984288692,0.702083647,1.0815758709999999,59.5,-134.5
119005.3594,123801.7188,121459.4297,122795.7031,0.011096763999999999,0.011389391,0.007436356,0.015055816999999999,59.5,-109.5
275829.8438,289258.5625,283432.4688,293296.4375,41.37319565,49.58912277,32.16534424,67.97573853,59.5,-107.5
