UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0,0.0,0.0,17741.83398,10886.61914,14687.11426,11439.27539,61.5,43.5
0.0,0.0,0.0,0.0,15679.953130000002,9664.797852,12855.35352,10086.25879,61.5,44.5
0.0,0.953492528,0.953492528,0.953492528,25676.35547,15583.519530000001,21318.125,17126.11328,61.5,45.5
0.000370194,0.002253606,0.002253606,0.002253606,106153.0625,91295.14844,97401.82813,97000.22656,61.5,46.5
0.0,0.0,0.0,0.0,61660.765629999994,58153.94141,58215.265629999994,61355.50781,61.5,47.5
0.0,0.0,0.0,0.0,12722.092770000001,7627.791992,10767.44531,8436.892578,61.5,48.5
0.0,0.0,0.0,0.0,12652.55371,7555.949219,10786.54395,8485.030273,61.5,49.5
0.0,0.0,0.0,0.0,16062.71973,11267.23438,14067.513669999998,12265.57422,61.5,50.5
0.0,0.0,0.0,0.0,8869.166016,5541.148438,7441.336914,6047.249022999999,61.5,51.5
0.0,0.0,0.0,0.0,10662.6543,6651.330078,8715.37207,7107.668456999999,61.5,52.5
0.0,0.0,0.0,0.0,10969.72852,6877.84082,8924.740234,7144.518555,61.5,53.5
0.0,0.0,0.0,0.0,10409.23633,6526.158203,8470.600586,6751.321289,61.5,54.5
0.0,0.0,0.0,0.0,17955.68164,10746.63477,15338.25781,11896.14844,61.5,65.5
0.0,0.0,0.0,0.0,34921.63281,25898.32813,28935.77539,31409.51758,60.5,-1.5
0.0,0.0,0.0,0.0,1251.821533,1430.560181,1645.2033689999998,1573.450073,60.5,-0.5
11.6886756,8.920474375,10.34528116,15.12216243,19836.125,28000.539060000003,22553.36719,33232.42969,60.5,4.5
25.66670516,38.08608072,16.25623274,107.15257009999999,468047.8438,731817.5,557228.125,857943.25,60.5,5.5
6276.4552969999995,6283.710396,6389.44215,6728.6404760000005,1220250.625,1973571.25,1473288.125,2334200.5,60.5,10.5
0.0,0.0,0.0,0.0,46008.92578,60030.85156,45297.26953,72479.13281,60.5,13.5
0.0,0.0,0.0,0.0,42072.35938,54772.78906,41414.45313,66082.60938,60.5,14.5
0.0,0.0,0.0,0.0,175179.6719,235779.6875,184268.0313,278516.5938,60.5,15.5
0.146145847,0.161857391,0.155597139,0.719067563,163463.2188,223387.6406,173146.0625,265034.9688,60.5,16.5
2270.7684489999997,3320.339395,3309.555353,3509.2428299999997,964604.875,1194253.5,978428.3125,1340982.5,60.5,24.5
2426.049821,2438.326106,2438.958967,2708.876848,709840.8125,878615.625,719433.125,986882.75,60.5,25.5
0.00379207,54.91798172,54.63240669,62.0899764,62991.91016,0.0,54477.66797,0.0,60.5,28.5
0.67924023,0.67924023,0.67924023,0.67924023,494472.3438,412568.0313,452701.9375,436377.5,60.5,29.5
34.77176922,35.20675163,35.20675163,35.20675163,5319403.5,5557421.0,5218725.0,5826529.0,60.5,30.5
0.0,0.0,0.0,0.0,115091.6875,107660.6172,130519.0078,113760.75,60.5,31.5
